"17 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.86792
300.50,0.86457
301.00,0.86742
301.50,0.87077
302.00,0.87626
302.50,0.87875
303.00,0.88506
303.50,0.89296
304.00,0.90286
304.50,0.91513
305.00,0.92853
305.50,0.94233
306.00,0.95757
306.50,0.97518
307.00,0.99341
307.50,1.01512
308.00,1.04173
308.50,1.07148
309.00,1.10119
309.50,1.13234
310.00,1.16244
310.50,1.19195
311.00,1.21780
311.50,1.24451
312.00,1.26559
312.50,1.28039
313.00,1.28275
313.50,1.27242
314.00,1.25116
314.50,1.21749
315.00,1.17987
315.50,1.13509
316.00,1.08886
316.50,1.03624
317.00,0.98493
317.50,0.93593
318.00,0.89006
318.50,0.84761
319.00,0.80901
319.50,0.77655
320.00,0.74764
320.50,0.72428
321.00,0.70330
321.50,0.68632
322.00,0.67142
322.50,0.65913
323.00,0.64892
323.50,0.64091
324.00,0.63427
324.50,0.62851
325.00,0.62106
325.50,0.61605
326.00,0.61053
326.50,0.60804
327.00,0.60365
327.50,0.60206
328.00,0.59886
328.50,0.59783
329.00,0.59424
329.50,0.59112
330.00,0.58713
330.50,0.58429
331.00,0.58338
331.50,0.58127
332.00,0.58021
332.50,0.57736
333.00,0.57652
333.50,0.57497
334.00,0.57307
334.50,0.57046
335.00,0.56870
335.50,0.56709
336.00,0.56493
336.50,0.56265
337.00,0.56145
337.50,0.56074
338.00,0.55863
338.50,0.55580
339.00,0.55409
339.50,0.55310
340.00,0.55291
340.50,0.54961
341.00,0.54818
341.50,0.54604
342.00,0.54557
342.50,0.54252
343.00,0.54035
343.50,0.53867
344.00,0.53691
344.50,0.53427
345.00,0.53179
345.50,0.53001
346.00,0.52734
346.50,0.52415
347.00,0.52102
347.50,0.51844
348.00,0.51579
348.50,0.51353
349.00,0.51099
349.50,0.50885
350.00,0.50500
350.50,0.50123
351.00,0.49749
351.50,0.49499
352.00,0.49213
352.50,0.48970
353.00,0.48614
353.50,0.48351
354.00,0.48016
354.50,0.47759
355.00,0.47470
355.50,0.47181
356.00,0.46808
356.50,0.46499
357.00,0.46131
357.50,0.45880
358.00,0.45594
358.50,0.45300
359.00,0.45036
359.50,0.44799
360.00,0.44562
360.50,0.44246
361.00,0.43889
361.50,0.43655
362.00,0.43407
362.50,0.43249
363.00,0.42997
363.50,0.42737
364.00,0.42495
364.50,0.42223
365.00,0.41996
365.50,0.41760
366.00,0.41576
366.50,0.41451
367.00,0.41297
367.50,0.41117
368.00,0.40968
368.50,0.40779
369.00,0.40650
369.50,0.40483
370.00,0.40334
370.50,0.40153
371.00,0.40066
371.50,0.39973
372.00,0.39910
372.50,0.39794
373.00,0.39674
373.50,0.39607
374.00,0.39487
374.50,0.39412
375.00,0.39228
375.50,0.39158
376.00,0.38990
376.50,0.39008
377.00,0.38887
377.50,0.38843
378.00,0.38692
378.50,0.38666
379.00,0.38597
379.50,0.38585
380.00,0.38514
380.50,0.38496
381.00,0.38404
381.50,0.38260
382.00,0.38166
382.50,0.38018
383.00,0.37998
383.50,0.37867
384.00,0.37848
384.50,0.37661
385.00,0.37580
385.50,0.37326
386.00,0.37264
386.50,0.37043
387.00,0.37029
387.50,0.36828
388.00,0.36696
388.50,0.36530
389.00,0.36343
389.50,0.36176
390.00,0.35862
390.50,0.35653
391.00,0.35372
391.50,0.35168
392.00,0.34909
392.50,0.34715
393.00,0.34435
393.50,0.34165
394.00,0.33873
394.50,0.33595
395.00,0.33306
395.50,0.33004
396.00,0.32787
396.50,0.32535
