"cds01 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,0.25809
250.50,0.26072
251.00,0.26288
251.50,0.26002
252.00,0.25222
252.50,0.24958
253.00,0.24385
253.50,0.24663
254.00,0.24175
254.50,0.24122
255.00,0.23860
255.50,0.23645
256.00,0.23193
256.50,0.23090
257.00,0.23127
257.50,0.22912
258.00,0.22736
258.50,0.22332
259.00,0.22288
259.50,0.22328
260.00,0.22238
260.50,0.22037
261.00,0.21230
261.50,0.20787
262.00,0.21123
262.50,0.20571
263.00,0.20242
263.50,0.19844
264.00,0.20101
264.50,0.19898
265.00,0.19425
265.50,0.19189
266.00,0.18982
266.50,0.18834
267.00,0.18641
267.50,0.18729
268.00,0.18315
268.50,0.18191
269.00,0.18067
269.50,0.17904
270.00,0.17747
270.50,0.17538
271.00,0.17271
271.50,0.17043
272.00,0.16909
272.50,0.16881
273.00,0.16573
273.50,0.16331
274.00,0.16239
274.50,0.16138
275.00,0.15937
275.50,0.15915
276.00,0.16055
276.50,0.16026
277.00,0.16006
277.50,0.15744
278.00,0.15601
278.50,0.15219
279.00,0.15000
279.50,0.14823
280.00,0.14978
280.50,0.14947
281.00,0.14926
281.50,0.14703
282.00,0.14574
282.50,0.14342
283.00,0.14030
283.50,0.13877
284.00,0.13887
284.50,0.13800
285.00,0.13773
285.50,0.13556
286.00,0.13718
286.50,0.13453
287.00,0.13427
287.50,0.12900
288.00,0.12941
288.50,0.12760
289.00,0.12988
289.50,0.12657
290.00,0.12693
290.50,0.12490
291.00,0.12432
291.50,0.12143
292.00,0.12068
292.50,0.12097
293.00,0.12149
293.50,0.11990
294.00,0.11912
294.50,0.11625
295.00,0.11564
295.50,0.11385
296.00,0.11544
296.50,0.11487
297.00,0.11534
297.50,0.11494
298.00,0.11375
298.50,0.11347
299.00,0.11091
299.50,0.11172
300.00,0.11029
300.50,0.11200
301.00,0.11121
301.50,0.11367
302.00,0.11401
302.50,0.11401
303.00,0.11316
303.50,0.11331
304.00,0.11409
304.50,0.11466
305.00,0.11623
305.50,0.11946
306.00,0.12085
306.50,0.12228
307.00,0.12228
307.50,0.12338
308.00,0.12459
308.50,0.12566
309.00,0.12725
309.50,0.12883
310.00,0.13123
310.50,0.13428
311.00,0.13589
311.50,0.13733
312.00,0.13914
312.50,0.13970
313.00,0.14142
313.50,0.13893
314.00,0.13828
314.50,0.13567
315.00,0.13461
315.50,0.13193
316.00,0.12960
316.50,0.12661
317.00,0.12397
317.50,0.12019
318.00,0.11725
318.50,0.11263
319.00,0.10868
319.50,0.10584
320.00,0.10367
320.50,0.10322
321.00,0.10020
321.50,0.09923
322.00,0.09669
322.50,0.09584
323.00,0.09402
323.50,0.09286
324.00,0.09107
324.50,0.08958
325.00,0.08854
325.50,0.08870
326.00,0.08708
326.50,0.08636
327.00,0.08471
327.50,0.08557
328.00,0.08516
328.50,0.08437
329.00,0.08274
329.50,0.08190
330.00,0.08091
330.50,0.07994
331.00,0.07868
331.50,0.07877
332.00,0.07926
332.50,0.07938
333.00,0.07877
333.50,0.07738
334.00,0.07628
334.50,0.07521
335.00,0.07518
335.50,0.07394
336.00,0.07437
336.50,0.07393
337.00,0.07395
337.50,0.07303
338.00,0.07252
338.50,0.07227
339.00,0.07109
339.50,0.07039
340.00,0.06939
340.50,0.06874
341.00,0.06835
341.50,0.06833
342.00,0.06903
342.50,0.06816
343.00,0.06742
343.50,0.06658
344.00,0.06658
344.50,0.06649
345.00,0.06553
345.50,0.06520
346.00,0.06424
346.50,0.06425
347.00,0.06358
347.50,0.06402
348.00,0.06369
348.50,0.06288
349.00,0.06231
349.50,0.06213
350.00,0.06286
350.50,0.06221
351.00,0.06209
351.50,0.06144
352.00,0.06135
352.50,0.06130
353.00,0.06111
353.50,0.06118
354.00,0.06147
354.50,0.06155
355.00,0.06168
355.50,0.06104
356.00,0.06050
356.50,0.06053
357.00,0.06076
357.50,0.06105
358.00,0.06111
358.50,0.06043
359.00,0.06054
359.50,0.05979
360.00,0.06102
360.50,0.06133
361.00,0.06228
361.50,0.06174
362.00,0.06193
362.50,0.06167
363.00,0.06166
363.50,0.06164
364.00,0.06166
364.50,0.06155
365.00,0.06066
365.50,0.06006
366.00,0.05961
366.50,0.05964
367.00,0.05954
367.50,0.05957
368.00,0.05951
368.50,0.05932
369.00,0.05885
369.50,0.05870
370.00,0.05882
370.50,0.05867
371.00,0.05811
371.50,0.05757
372.00,0.05760
372.50,0.05721
373.00,0.05718
373.50,0.05609
374.00,0.05639
374.50,0.05555
