"pbs1300-2 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
700.00,0.85244
701.00,0.82726
702.00,0.82475
703.00,0.81832
704.00,0.81100
705.00,0.80277
706.00,0.80014
707.00,0.79792
708.00,0.79098
709.00,0.79801
710.00,0.77299
711.00,0.76252
712.00,0.76897
713.00,0.76370
714.00,0.75235
715.00,0.74575
716.00,0.74295
717.00,0.72978
718.00,0.72926
719.00,0.72844
720.00,0.72540
721.00,0.71913
722.00,0.71397
723.00,0.70864
724.00,0.70151
725.00,0.69610
726.00,0.69097
727.00,0.68958
728.00,0.68386
729.00,0.68052
730.00,0.67461
731.00,0.67114
732.00,0.66406
733.00,0.66172
734.00,0.65766
735.00,0.65503
736.00,0.65094
737.00,0.64682
738.00,0.64248
739.00,0.63785
740.00,0.63360
741.00,0.63094
742.00,0.62909
743.00,0.62718
744.00,0.62347
745.00,0.61920
746.00,0.61644
747.00,0.60772
748.00,0.60955
749.00,0.60929
750.00,0.60584
751.00,0.60376
752.00,0.59994
753.00,0.59661
754.00,0.59384
755.00,0.59227
756.00,0.59243
757.00,0.59043
758.00,0.58687
759.00,0.58468
760.00,0.58218
761.00,0.58151
762.00,0.57911
763.00,0.57987
764.00,0.58000
765.00,0.57794
766.00,0.57661
767.00,0.57382
768.00,0.57237
769.00,0.57246
770.00,0.57283
771.00,0.57157
772.00,0.57225
773.00,0.56972
774.00,0.56746
775.00,0.56573
776.00,0.56565
777.00,0.56672
778.00,0.56709
779.00,0.56749
780.00,0.56583
781.00,0.56427
782.00,0.56289
783.00,0.56281
784.00,0.56301
785.00,0.56326
786.00,0.56394
787.00,0.56358
788.00,0.56121
789.00,0.56041
790.00,0.55823
791.00,0.55753
792.00,0.55682
793.00,0.55646
794.00,0.55698
795.00,0.55492
796.00,0.55318
797.00,0.55081
798.00,0.55239
799.00,0.55154
800.00,0.54912
801.00,0.54853
802.00,0.54722
803.00,0.54111
804.00,0.54286
805.00,0.54032
806.00,0.53980
807.00,0.53707
808.00,0.53390
809.00,0.53507
810.00,0.53326
811.00,0.53069
812.00,0.52623
813.00,0.52575
814.00,0.52244
815.00,0.52110
816.00,0.51869
817.00,0.51710
818.00,0.51364
819.00,0.51082
820.00,0.50978
821.00,0.50742
822.00,0.50301
823.00,0.49934
824.00,0.49804
825.00,0.49298
826.00,0.49169
827.00,0.49089
828.00,0.48716
829.00,0.48404
830.00,0.48077
831.00,0.47492
832.00,0.47233
833.00,0.47026
834.00,0.46652
835.00,0.46381
836.00,0.46190
837.00,0.46069
838.00,0.45700
839.00,0.45385
840.00,0.45008
841.00,0.44909
842.00,0.44698
843.00,0.44315
844.00,0.44283
845.00,0.43941
846.00,0.43605
847.00,0.43478
848.00,0.43312
849.00,0.43116
850.00,0.42832
851.00,0.42800
852.00,0.42620
853.00,0.42484
854.00,0.42299
855.00,0.42112
856.00,0.42028
857.00,0.41794
858.00,0.41750
859.00,0.41623
860.00,0.41567
861.00,0.41450
862.00,0.41273
863.00,0.41158
864.00,0.41161
865.00,0.41086
866.00,0.41036
867.00,0.40946
868.00,0.40965
869.00,0.40797
870.00,0.40841
871.00,0.40851
872.00,0.40763
873.00,0.40842
874.00,0.40826
875.00,0.40990
876.00,0.40764
877.00,0.40661
878.00,0.40448
879.00,0.40812
880.00,0.40858
881.00,0.40907
882.00,0.40965
883.00,0.41102
884.00,0.41184
885.00,0.41071
886.00,0.41160
887.00,0.41172
888.00,0.41281
889.00,0.41376
890.00,0.41288
891.00,0.41199
892.00,0.41336
893.00,0.41176
894.00,0.41522
895.00,0.41642
896.00,0.41660
897.00,0.41722
898.00,0.41772
899.00,0.41832
900.00,0.41871
901.00,0.41952
902.00,0.41884
903.00,0.41952
904.00,0.42029
905.00,0.42090
906.00,0.42288
907.00,0.42298
908.00,0.42286
909.00,0.42232
910.00,0.42148
911.00,0.42160
912.00,0.42193
913.00,0.42174
914.00,0.42259
915.00,0.42179
916.00,0.42029
917.00,0.41955
918.00,0.41765
919.00,0.41989
920.00,0.41999
921.00,0.42078
922.00,0.41958
923.00,0.41765
924.00,0.41616
925.00,0.41624
926.00,0.41535
927.00,0.41470
928.00,0.41371
929.00,0.41333
930.00,0.41189
931.00,0.41068
932.00,0.40892
933.00,0.40731
934.00,0.40657
935.00,0.40572
936.00,0.40400
937.00,0.40236
938.00,0.40065
939.00,0.39790
940.00,0.39662
941.00,0.39526
942.00,0.39416
943.00,0.39322
944.00,0.39021
945.00,0.38859
946.00,0.38513
947.00,0.38226
948.00,0.38108
949.00,0.37930
950.00,0.37835
951.00,0.37676
952.00,0.37382
953.00,0.37222
954.00,0.36824
955.00,0.36694
956.00,0.36492
957.00,0.36284
958.00,0.36151
959.00,0.35933
960.00,0.35640
961.00,0.35424
962.00,0.35162
963.00,0.34545
964.00,0.34776
965.00,0.34635
966.00,0.34391
967.00,0.34011
968.00,0.33756
969.00,0.33507
970.00,0.33347
971.00,0.33201
972.00,0.33029
973.00,0.32871
974.00,0.32457
975.00,0.32195
976.00,0.31896
977.00,0.31650
978.00,0.31518
979.00,0.31393
980.00,0.31071
981.00,0.30985
982.00,0.30664
983.00,0.30327
984.00,0.29990
985.00,0.29968
986.00,0.29933
987.00,0.29728
988.00,0.29503
989.00,0.29210
990.00,0.29039
991.00,0.28715
992.00,0.28643
993.00,0.28606
994.00,0.28448
995.00,0.28321
996.00,0.28046
997.00,0.27849
998.00,0.27660
999.00,0.27576
1000.00,0.27498
1001.00,0.27388
1002.00,0.27241
1003.00,0.26901
1004.00,0.26987
1005.00,0.26627
1006.00,0.26813
1007.00,0.26613
1008.00,0.26441
1009.00,0.26342
1010.00,0.26276
1011.00,0.26246
1012.00,0.26288
1013.00,0.26271
1014.00,0.26056
1015.00,0.25935
1016.00,0.25696
1017.00,0.25562
1018.00,0.25653
1019.00,0.25743
1020.00,0.25320
1021.00,0.25665
1022.00,0.25569
1023.00,0.25426
1024.00,0.25373
1025.00,0.25438
1026.00,0.25554
1027.00,0.25548
1028.00,0.25508
1029.00,0.25288
1030.00,0.25260
1031.00,0.25146
1032.00,0.25163
1033.00,0.25180
1034.00,0.25170
1035.00,0.25153
1036.00,0.24559
1037.00,0.24869
1038.00,0.24752
1039.00,0.24744
1040.00,0.24770
1041.00,0.24792
1042.00,0.24687
1043.00,0.24605
1044.00,0.24405
1045.00,0.24348
1046.00,0.24254
1047.00,0.24157
1048.00,0.24048
1049.00,0.23923
1050.00,0.23664
1051.00,0.23411
1052.00,0.23501
1053.00,0.23378
1054.00,0.23314
1055.00,0.23248
1056.00,0.23085
1057.00,0.22919
1058.00,0.22749
1059.00,0.22520
1060.00,0.22261
1061.00,0.22194
1062.00,0.22061
1063.00,0.21939
1064.00,0.21877
1065.00,0.21653
1066.00,0.21392
1067.00,0.21131
1068.00,0.20916
1069.00,0.20748
1070.00,0.20622
1071.00,0.20516
1072.00,0.20291
1073.00,0.19999
1074.00,0.19776
1075.00,0.19553
1076.00,0.19358
1077.00,0.19296
1078.00,0.19182
1079.00,0.18955
1080.00,0.18598
1081.00,0.18317
1082.00,0.18027
1083.00,0.17876
1084.00,0.17799
1085.00,0.17751
1086.00,0.17566
1087.00,0.17252
1088.00,0.16966
1089.00,0.16804
1090.00,0.16713
1091.00,0.16585
1092.00,0.16365
1093.00,0.16175
1094.00,0.16045
1095.00,0.15694
1096.00,0.15561
1097.00,0.15436
1098.00,0.15349
1099.00,0.15346
1100.00,0.15237
1101.00,0.15053
1102.00,0.14742
1103.00,0.14531
1104.00,0.14322
1105.00,0.14245
1106.00,0.14264
1107.00,0.14128
1108.00,0.14041
1109.00,0.13837
1110.00,0.13600
1111.00,0.13362
1112.00,0.13326
1113.00,0.13281
1114.00,0.13253
1115.00,0.13202
1116.00,0.12999
1117.00,0.12927
1118.00,0.12696
1119.00,0.12588
1120.00,0.12545
1121.00,0.12526
1122.00,0.12533
1123.00,0.12330
1124.00,0.12062
1125.00,0.12064
1126.00,0.11832
1127.00,0.11521
1128.00,0.11873
1129.00,0.11834
1130.00,0.11782
1131.00,0.11597
1132.00,0.11631
1133.00,0.11357
1134.00,0.11161
1135.00,0.11182
1136.00,0.11241
1137.00,0.10748
1138.00,0.11267
1139.00,0.11028
1140.00,0.10806
1141.00,0.10757
1142.00,0.10552
1143.00,0.10886
1144.00,0.10821
1145.00,0.10758
1146.00,0.10560
1147.00,0.10439
1148.00,0.10461
1149.00,0.10320
1150.00,0.10475
1151.00,0.10518
1152.00,0.10356
1153.00,0.10296
1154.00,0.10199
1155.00,0.10058
1156.00,0.10043
1157.00,0.09827
1158.00,0.09286
1159.00,0.09968
1160.00,0.09857
1161.00,0.09770
1162.00,0.09549
