"13 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.25943
251.00,1.22350
252.00,1.19083
253.00,1.15833
254.00,1.13020
255.00,1.09962
256.00,1.07336
257.00,1.04942
258.00,1.02544
259.00,1.00673
260.00,0.98474
261.00,0.96701
262.00,0.94832
263.00,0.93083
264.00,0.91692
265.00,0.90263
266.00,0.88987
267.00,0.87730
268.00,0.86669
269.00,0.85516
270.00,0.84124
271.00,0.83206
272.00,0.82012
273.00,0.80822
274.00,0.79721
275.00,0.78624
276.00,0.77400
277.00,0.76255
278.00,0.75020
279.00,0.73962
280.00,0.72778
281.00,0.71773
282.00,0.70671
283.00,0.69663
284.00,0.68469
285.00,0.67482
286.00,0.66518
287.00,0.65632
288.00,0.64537
289.00,0.63650
290.00,0.62844
291.00,0.62371
292.00,0.61407
293.00,0.60870
294.00,0.60457
295.00,0.59968
296.00,0.59546
297.00,0.59392
298.00,0.59314
299.00,0.59107
300.00,0.59066
301.00,0.58957
302.00,0.58942
303.00,0.58670
304.00,0.58486
305.00,0.58318
306.00,0.57702
307.00,0.57051
308.00,0.56373
309.00,0.55437
310.00,0.54522
311.00,0.54865
312.00,0.53779
313.00,0.53349
314.00,0.51584
315.00,0.50694
316.00,0.49799
317.00,0.48707
318.00,0.47519
319.00,0.47059
320.00,0.45914
321.00,0.45456
322.00,0.44579
323.00,0.44009
324.00,0.43089
325.00,0.42284
326.00,0.41743
327.00,0.40968
328.00,0.40333
329.00,0.39527
330.00,0.39092
331.00,0.38337
332.00,0.38129
333.00,0.37536
334.00,0.37505
335.00,0.36812
336.00,0.37001
337.00,0.36575
338.00,0.37023
339.00,0.36873
340.00,0.37017
341.00,0.36927
342.00,0.36918
343.00,0.37101
344.00,0.36780
345.00,0.36832
346.00,0.36829
347.00,0.36778
348.00,0.36747
349.00,0.36800
350.00,0.36738
351.00,0.36770
352.00,0.36857
353.00,0.36696
354.00,0.36717
355.00,0.36518
356.00,0.36160
357.00,0.35475
358.00,0.35085
359.00,0.34157
360.00,0.33381
361.00,0.32256
362.00,0.31327
363.00,0.30258
364.00,0.29240
365.00,0.28395
366.00,0.27175
367.00,0.26604
368.00,0.25613
369.00,0.25251
370.00,0.24578
371.00,0.24335
372.00,0.24165
373.00,0.23860
374.00,0.24186
375.00,0.24220
376.00,0.24661
377.00,0.25005
378.00,0.25621
379.00,0.26168
380.00,0.26900
381.00,0.27210
382.00,0.27776
383.00,0.27790
384.00,0.28003
385.00,0.27526
386.00,0.27138
387.00,0.26523
388.00,0.25413
389.00,0.24744
390.00,0.23471
391.00,0.22431
392.00,0.21544
393.00,0.20463
394.00,0.19638
395.00,0.18719
396.00,0.18076
397.00,0.17561
398.00,0.17142
399.00,0.17025
400.00,0.17136
401.00,0.17594
402.00,0.17970
403.00,0.18845
404.00,0.19937
405.00,0.21279
406.00,0.22897
407.00,0.24545
408.00,0.26195
409.00,0.27935
410.00,0.29490
411.00,0.30954
412.00,0.31776
413.00,0.32799
414.00,0.33221
415.00,0.33638
416.00,0.33742
417.00,0.33597
418.00,0.33380
419.00,0.32675
420.00,0.31682
421.00,0.30379
422.00,0.28862
423.00,0.26992
424.00,0.24980
425.00,0.22944
426.00,0.20492
427.00,0.18325
428.00,0.15912
429.00,0.13794
430.00,0.11748
431.00,0.09885
432.00,0.08304
433.00,0.06818
434.00,0.05720
435.00,0.04838
436.00,0.03867
437.00,0.03367
438.00,0.02805
439.00,0.02377
440.00,0.02087
441.00,0.01888
442.00,0.01750
443.00,0.01465
444.00,0.01570
445.00,0.01307
446.00,0.01445
447.00,0.01100
448.00,0.01280
449.00,0.01160
450.00,0.01149
451.00,0.01104
452.00,0.01049
453.00,0.01155
454.00,0.00895
455.00,0.01285
456.00,0.00918
457.00,0.01162
458.00,0.00862
459.00,0.01035
460.00,0.01091
461.00,0.00986
462.00,0.01205
463.00,0.00862
464.00,0.01148
465.00,0.00809
466.00,0.01112
467.00,0.00882
468.00,0.00922
469.00,0.00975
470.00,0.00866
471.00,0.01220
472.00,0.00782
473.00,0.01105
474.00,0.00790
475.00,0.00983
476.00,0.00892
477.00,0.00969
478.00,0.00966
479.00,0.00808
480.00,0.01065
481.00,0.00724
482.00,0.01084
483.00,0.00726
484.00,0.01012
485.00,0.00945
486.00,0.00823
487.00,0.00930
488.00,0.00783
489.00,0.01051
490.00,0.00778
491.00,0.01022
492.00,0.00771
493.00,0.01039
494.00,0.00811
495.00,0.00870
496.00,0.00923
497.00,0.00798
498.00,0.00954
499.00,0.00717
500.00,0.01039
