"3 - RawData"
"����(nm)","����ֵ"
250.00,3.60740
251.00,3.53543
252.00,3.50812
253.00,3.54541
254.00,3.49086
255.00,3.52859
256.00,3.52423
257.00,3.50570
258.00,3.50837
259.00,3.44840
260.00,3.43012
261.00,3.41704
262.00,3.37551
263.00,3.35741
264.00,3.36051
265.00,3.28223
266.00,3.27708
267.00,3.29097
268.00,3.23232
269.00,3.20738
270.00,3.15164
271.00,3.08159
272.00,3.05617
273.00,3.01132
274.00,2.98261
275.00,2.93878
276.00,2.91278
277.00,2.90896
278.00,2.88366
279.00,2.85935
280.00,2.85841
281.00,2.85369
282.00,2.84088
283.00,2.84457
284.00,2.82511
285.00,2.82119
286.00,2.81918
287.00,2.81244
288.00,2.79969
289.00,2.78849
290.00,2.75914
291.00,2.73326
292.00,2.68446
293.00,2.62957
294.00,2.58485
295.00,2.52071
296.00,2.45977
297.00,2.40973
298.00,2.35688
299.00,2.30719
300.00,2.26244
301.00,2.22209
302.00,2.18201
303.00,2.15704
304.00,2.12610
305.00,2.09386
306.00,2.05717
307.00,2.02119
308.00,1.97542
309.00,1.92439
310.00,1.87669
311.00,1.87673
312.00,1.83378
313.00,1.78027
314.00,1.74384
315.00,1.69951
316.00,1.65763
317.00,1.63078
318.00,1.60976
319.00,1.59156
320.00,1.56898
321.00,1.57888
322.00,1.57234
323.00,1.58396
324.00,1.59332
325.00,1.58918
326.00,1.59558
327.00,1.58178
328.00,1.58406
329.00,1.58336
330.00,1.57471
331.00,1.56885
332.00,1.56174
333.00,1.54972
334.00,1.55523
335.00,1.55041
336.00,1.55401
337.00,1.55345
338.00,1.55370
339.00,1.54963
340.00,1.54664
341.00,1.52574
342.00,1.51552
343.00,1.49643
344.00,1.45958
345.00,1.42485
346.00,1.38522
347.00,1.34262
348.00,1.29916
349.00,1.25432
350.00,1.20636
351.00,1.16199
352.00,1.12315
353.00,1.08158
354.00,1.05066
355.00,1.02059
356.00,0.99824
357.00,0.97805
358.00,0.96513
359.00,0.95931
360.00,0.95772
361.00,0.96188
362.00,0.97604
363.00,0.99088
364.00,1.01323
365.00,1.03764
366.00,1.06007
367.00,1.08606
368.00,1.10409
369.00,1.12071
370.00,1.12472
371.00,1.12407
372.00,1.10898
373.00,1.08348
374.00,1.05216
375.00,1.01392
376.00,0.96590
377.00,0.91901
378.00,0.87278
379.00,0.82822
380.00,0.78260
381.00,0.74137
382.00,0.70810
383.00,0.67789
384.00,0.65633
385.00,0.63961
386.00,0.63343
387.00,0.63109
388.00,0.64173
389.00,0.65970
390.00,0.69019
391.00,0.73453
392.00,0.78880
393.00,0.85295
394.00,0.93267
395.00,1.01531
396.00,1.10429
397.00,1.19116
398.00,1.27667
399.00,1.34742
400.00,1.41110
401.00,1.45200
402.00,1.48337
403.00,1.49272
404.00,1.49293
405.00,1.47587
406.00,1.45251
407.00,1.41757
408.00,1.36586
409.00,1.30667
410.00,1.23426
411.00,1.15287
412.00,1.05867
413.00,0.96011
414.00,0.85703
415.00,0.75723
416.00,0.65110
417.00,0.55830
418.00,0.46789
419.00,0.38879
420.00,0.31820
421.00,0.26208
422.00,0.20948
423.00,0.17095
424.00,0.13749
425.00,0.11149
426.00,0.09095
427.00,0.07479
428.00,0.06381
429.00,0.05290
430.00,0.04916
431.00,0.04225
432.00,0.03997
433.00,0.03701
434.00,0.03561
435.00,0.03369
436.00,0.03274
437.00,0.03164
438.00,0.03146
439.00,0.03055
440.00,0.03045
441.00,0.02973
442.00,0.02932
443.00,0.02934
444.00,0.02874
445.00,0.02908
446.00,0.02817
447.00,0.02758
448.00,0.02795
449.00,0.02748
450.00,0.02700
451.00,0.02687
452.00,0.02769
453.00,0.02706
454.00,0.02669
455.00,0.02709
456.00,0.02706
457.00,0.02604
458.00,0.02532
459.00,0.02640
460.00,0.02585
461.00,0.02609
462.00,0.02563
463.00,0.02601
464.00,0.02506
465.00,0.02401
466.00,0.02505
467.00,0.02361
468.00,0.02499
469.00,0.02267
470.00,0.02472
471.00,0.02416
472.00,0.02398
473.00,0.02385
474.00,0.02329
475.00,0.02432
476.00,0.02204
477.00,0.02458
478.00,0.02188
479.00,0.02435
480.00,0.02230
481.00,0.02253
482.00,0.02252
483.00,0.02116
484.00,0.02310
485.00,0.02151
486.00,0.02235
487.00,0.02116
488.00,0.02176
489.00,0.02286
490.00,0.02107
491.00,0.02261
492.00,0.01983
493.00,0.02324
494.00,0.02079
495.00,0.02171
496.00,0.02144
497.00,0.02058
498.00,0.02210
499.00,0.01996
500.00,0.02212
