"0min∏¥≤‚ - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,2.39573
250.50,2.30664
251.00,2.14798
251.50,2.25675
252.00,2.80086
252.50,3.26372
253.00,2.67601
253.50,2.13187
254.00,2.23538
254.50,2.26604
255.00,2.31628
255.50,2.18107
256.00,2.15268
256.50,2.25655
257.00,2.19767
257.50,2.17798
258.00,2.08717
258.50,2.07390
259.00,2.03388
259.50,2.08705
260.00,2.24592
260.50,2.31910
261.00,2.10404
261.50,2.09183
262.00,2.05283
262.50,2.31592
263.00,2.34083
263.50,2.35427
264.00,2.26907
264.50,2.18619
265.00,2.21563
265.50,2.19465
266.00,2.24152
266.50,2.20987
267.00,2.16515
267.50,2.22604
268.00,2.29871
268.50,2.37044
269.00,2.26179
269.50,2.21633
270.00,2.23513
270.50,2.22028
271.00,2.23040
271.50,2.28726
272.00,2.29002
272.50,2.28229
273.00,2.24411
273.50,2.21776
274.00,2.17270
274.50,2.12274
275.00,2.08252
275.50,2.07974
276.00,2.05637
276.50,2.05222
277.00,2.03329
277.50,2.04228
278.00,2.05097
278.50,2.02408
279.00,1.96821
279.50,1.92298
280.00,1.91253
280.50,1.91024
281.00,1.88945
281.50,1.88101
282.00,1.85723
282.50,1.84949
283.00,1.81657
283.50,1.79780
284.00,1.78153
284.50,1.75748
285.00,1.72637
285.50,1.70978
286.00,1.69881
286.50,1.69308
287.00,1.67740
287.50,1.66433
288.00,1.65593
288.50,1.64558
289.00,1.63242
289.50,1.61380
290.00,1.59565
290.50,1.57853
291.00,1.56380
291.50,1.55204
292.00,1.54297
292.50,1.53129
293.00,1.51749
293.50,1.50125
294.00,1.49090
294.50,1.47921
295.00,1.47501
295.50,1.46495
296.00,1.45708
296.50,1.44774
297.00,1.44379
297.50,1.43814
298.00,1.43320
298.50,1.43129
299.00,1.42818
299.50,1.43002
300.00,1.42777
300.50,1.43713
301.00,1.44109
301.50,1.44846
302.00,1.45501
302.50,1.46602
303.00,1.47922
303.50,1.49382
304.00,1.51213
304.50,1.53588
305.00,1.56105
305.50,1.59128
306.00,1.61533
306.50,1.64239
