"12.5 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.77837
250.50,1.85828
251.00,1.97287
251.50,2.15084
252.00,2.23758
252.50,2.30920
253.00,2.20556
253.50,2.12817
254.00,2.00563
254.50,2.22398
255.00,2.35192
255.50,2.62851
256.00,2.26513
256.50,2.20450
257.00,2.18510
257.50,2.31395
258.00,2.41862
258.50,2.39964
259.00,2.33477
259.50,2.13901
260.00,2.20551
260.50,2.10694
261.00,2.24522
261.50,2.19434
262.00,2.54662
262.50,2.80944
263.00,2.88660
263.50,2.35160
264.00,2.28022
264.50,2.32333
265.00,2.72872
265.50,2.60713
266.00,2.56508
266.50,2.30137
267.00,2.40758
267.50,2.49892
268.00,2.69737
268.50,2.50449
269.00,2.56488
269.50,2.41580
270.00,2.46675
270.50,2.39588
271.00,2.58938
271.50,2.70011
272.00,2.68011
272.50,2.77676
273.00,2.76542
273.50,2.72004
274.00,2.59376
274.50,2.68778
275.00,2.69788
275.50,2.75042
276.00,2.63370
276.50,2.81765
277.00,2.79209
277.50,2.77931
278.00,2.67551
278.50,2.65814
279.00,2.69093
279.50,2.79282
280.00,2.79948
280.50,2.78473
281.00,2.72849
281.50,2.72335
282.00,2.71683
282.50,2.70063
283.00,2.78755
283.50,2.83047
284.00,2.84826
284.50,2.72865
285.00,2.69353
285.50,2.71802
286.00,2.74168
286.50,2.76068
287.00,2.70350
287.50,2.78315
288.00,2.79660
288.50,2.82626
289.00,2.81573
289.50,2.80386
290.00,2.79262
290.50,2.75100
291.00,2.70489
291.50,2.70589
292.00,2.70786
292.50,2.73793
293.00,2.73342
293.50,2.69538
294.00,2.66147
294.50,2.62343
295.00,2.61443
295.50,2.60265
296.00,2.57609
296.50,2.56490
297.00,2.52818
297.50,2.51212
298.00,2.47034
298.50,2.44595
299.00,2.41407
299.50,2.38425
300.00,2.35469
300.50,2.33162
301.00,2.32022
301.50,2.29320
302.00,2.27931
302.50,2.25134
303.00,2.24887
303.50,2.22797
304.00,2.22676
304.50,2.21113
305.00,2.22036
305.50,2.21265
306.00,2.20527
306.50,2.19587
307.00,2.18574
307.50,2.19261
308.00,2.17770
308.50,2.17979
309.00,2.16791
309.50,2.15382
310.00,2.13391
310.50,2.11222
311.00,2.09516
311.50,2.07900
312.00,2.04875
312.50,2.02082
313.00,1.97923
313.50,1.95054
314.00,1.90907
314.50,1.88096
315.00,1.84899
315.50,1.82930
316.00,1.79947
316.50,1.77962
317.00,1.75547
317.50,1.73999
318.00,1.71913
318.50,1.70650
319.00,1.69465
319.50,1.68920
320.00,1.68354
320.50,1.67974
321.00,1.67893
321.50,1.68084
322.00,1.68388
322.50,1.68608
323.00,1.68912
323.50,1.68886
324.00,1.69034
324.50,1.69205
325.00,1.69751
325.50,1.69788
326.00,1.69585
326.50,1.69431
327.00,1.69248
327.50,1.69058
328.00,1.68466
328.50,1.68117
329.00,1.67756
329.50,1.67134
330.00,1.66418
330.50,1.65446
331.00,1.64817
331.50,1.64165
332.00,1.63481
332.50,1.63175
333.00,1.62403
333.50,1.61960
334.00,1.61556
334.50,1.61552
335.00,1.61777
335.50,1.61883
336.00,1.62055
336.50,1.61840
337.00,1.61529
337.50,1.61440
338.00,1.61320
338.50,1.61308
339.00,1.61055
339.50,1.60466
340.00,1.59931
340.50,1.59287
341.00,1.58595
341.50,1.57470
342.00,1.56210
342.50,1.54948
343.00,1.53323
343.50,1.51543
344.00,1.49660
344.50,1.47826
345.00,1.45769
345.50,1.43495
346.00,1.40997
346.50,1.38483
347.00,1.35851
347.50,1.33346
348.00,1.30745
348.50,1.28336
349.00,1.25652
349.50,1.23078
350.00,1.20421
350.50,1.18125
351.00,1.15887
351.50,1.13743
352.00,1.11753
352.50,1.09740
353.00,1.08080
353.50,1.06336
354.00,1.05025
354.50,1.03525
355.00,1.02456
355.50,1.01288
356.00,1.00687
356.50,0.99886
357.00,0.99551
357.50,0.99129
358.00,0.99086
358.50,0.99045
359.00,0.99249
359.50,0.99678
360.00,1.00354
360.50,1.01236
361.00,1.02125
361.50,1.03177
362.00,1.04219
362.50,1.05501
363.00,1.06902
363.50,1.08525
364.00,1.10260
364.50,1.12002
365.00,1.13598
365.50,1.15347
366.00,1.16923
366.50,1.18629
367.00,1.19666
367.50,1.20778
368.00,1.21645
368.50,1.22722
369.00,1.23036
369.50,1.23107
370.00,1.22665
370.50,1.22175
371.00,1.21344
371.50,1.20019
372.00,1.18589
372.50,1.16690
373.00,1.14848
373.50,1.12361
374.00,1.09916
374.50,1.07119
375.00,1.04421
375.50,1.01556
376.00,0.98677
376.50,0.95640
377.00,0.92693
377.50,0.89667
378.00,0.86921
378.50,0.84156
379.00,0.81644
379.50,0.79080
380.00,0.76611
380.50,0.74289
381.00,0.72267
381.50,0.70452
382.00,0.68780
382.50,0.67343
383.00,0.65978
383.50,0.64908
384.00,0.63960
384.50,0.63400
385.00,0.62941
385.50,0.62655
386.00,0.62602
386.50,0.62807
387.00,0.63294
387.50,0.64125
388.00,0.65180
388.50,0.66579
