"2.5min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,2.11796
250.50,2.26256
251.00,2.22395
251.50,2.20057
252.00,2.14154
252.50,2.32230
253.00,2.34417
253.50,2.21657
254.00,2.10389
254.50,2.22014
255.00,2.40401
255.50,2.39920
256.00,2.41006
256.50,2.55199
257.00,2.55989
257.50,2.35361
258.00,2.25251
258.50,2.27626
259.00,2.34285
259.50,2.40155
260.00,2.66751
260.50,2.72219
261.00,2.49587
261.50,2.61724
262.00,2.57902
262.50,2.69025
263.00,2.46951
263.50,2.45121
264.00,2.45463
264.50,2.52205
265.00,2.66645
265.50,2.64999
266.00,2.61618
266.50,2.57927
267.00,2.74276
267.50,2.77709
268.00,2.83406
268.50,2.79206
269.00,2.71871
269.50,2.63973
270.00,2.65365
270.50,2.72523
271.00,2.73564
271.50,2.72585
272.00,2.94498
272.50,2.86804
273.00,3.02266
273.50,2.98580
274.00,2.94667
274.50,2.89957
275.00,2.80895
275.50,3.08311
276.00,2.95580
276.50,2.92307
277.00,2.82984
277.50,2.88661
278.00,2.90111
278.50,2.91933
279.00,2.92283
279.50,2.99769
280.00,2.90938
280.50,2.91252
281.00,2.96673
281.50,3.13844
282.00,3.22989
282.50,3.06913
283.00,3.04125
283.50,3.02824
284.00,2.98566
284.50,2.95720
285.00,3.10108
285.50,3.11578
286.00,2.98441
286.50,2.83228
287.00,2.81981
287.50,2.84119
288.00,2.81443
288.50,2.79927
289.00,2.73127
289.50,2.68915
290.00,2.68385
290.50,2.75499
291.00,2.78382
291.50,2.76496
292.00,2.71655
292.50,2.71476
293.00,2.68441
293.50,2.64173
294.00,2.63745
294.50,2.59944
295.00,2.58662
295.50,2.54710
296.00,2.55079
296.50,2.55598
297.00,2.55592
297.50,2.55443
298.00,2.52176
298.50,2.49368
299.00,2.46903
299.50,2.48568
300.00,2.48993
300.50,2.47517
301.00,2.46721
301.50,2.44641
302.00,2.44949
302.50,2.44942
303.00,2.46733
303.50,2.47857
304.00,2.47246
304.50,2.50472
305.00,2.52484
305.50,2.55009
306.00,2.55366
306.50,2.57548
307.00,2.61451
307.50,2.66135
308.00,2.71384
308.50,2.71754
309.00,2.74421
309.50,2.75691
310.00,2.79068
310.50,2.79536
311.00,2.79498
311.50,2.79265
312.00,2.74508
312.50,2.68887
313.00,2.63929
313.50,2.58588
314.00,2.51850
314.50,2.44494
315.00,2.38890
