"26min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,2.25649
250.50,2.53611
251.00,2.43309
251.50,2.29118
252.00,2.20806
252.50,2.15433
253.00,2.02950
253.50,1.96639
254.00,2.25207
254.50,2.41189
255.00,2.44144
255.50,2.24017
256.00,2.23111
256.50,2.26615
257.00,2.63201
257.50,2.61605
258.00,2.59772
258.50,2.14762
259.00,2.18170
259.50,2.31846
260.00,2.43811
260.50,2.46580
261.00,2.41641
261.50,2.36135
262.00,2.30548
262.50,2.24272
263.00,2.31796
263.50,2.32388
264.00,2.28104
264.50,2.32256
265.00,2.35769
265.50,2.34186
266.00,2.32702
266.50,2.27176
267.00,2.44907
267.50,2.45386
268.00,2.40919
268.50,2.35268
269.00,2.31596
269.50,2.41622
270.00,2.39313
270.50,2.47424
271.00,2.56477
271.50,2.58029
272.00,2.46969
272.50,2.42769
273.00,2.47551
273.50,2.53444
274.00,2.49214
274.50,2.40142
275.00,2.44586
275.50,2.45606
276.00,2.49959
276.50,2.44782
277.00,2.48402
277.50,2.51669
278.00,2.52195
278.50,2.48659
279.00,2.44057
279.50,2.39296
280.00,2.33928
280.50,2.36296
281.00,2.36527
281.50,2.35997
282.00,2.33703
282.50,2.32523
283.00,2.35056
283.50,2.30428
284.00,2.28773
284.50,2.26603
285.00,2.24877
285.50,2.22120
286.00,2.19848
286.50,2.20437
287.00,2.18329
287.50,2.18495
288.00,2.17192
288.50,2.17045
289.00,2.13682
289.50,2.11050
290.00,2.10323
290.50,2.09015
291.00,2.07929
291.50,2.05159
292.00,2.03353
292.50,2.01535
293.00,2.00368
293.50,1.99120
294.00,1.97594
294.50,1.96351
295.00,1.95086
295.50,1.93745
296.00,1.92090
296.50,1.90338
297.00,1.89257
297.50,1.88616
298.00,1.87151
298.50,1.85600
299.00,1.84313
299.50,1.83869
300.00,1.82704
300.50,1.81323
301.00,1.80218
301.50,1.78792
302.00,1.78194
302.50,1.77569
303.00,1.77290
303.50,1.76376
304.00,1.74766
304.50,1.74448
305.00,1.74553
305.50,1.74331
306.00,1.73526
306.50,1.72615
307.00,1.72343
307.50,1.71731
308.00,1.71048
308.50,1.70988
309.00,1.70375
309.50,1.70233
310.00,1.69720
310.50,1.69775
311.00,1.68768
311.50,1.67993
312.00,1.67681
312.50,1.67284
313.00,1.66966
313.50,1.66518
314.00,1.66134
314.50,1.65319
315.00,1.64117
315.50,1.63502
316.00,1.62399
316.50,1.62006
317.00,1.61000
317.50,1.60286
318.00,1.59209
318.50,1.58084
319.00,1.57895
319.50,1.56441
320.00,1.55817
320.50,1.54378
321.00,1.53764
321.50,1.52843
322.00,1.52163
322.50,1.51176
323.00,1.50054
323.50,1.48513
324.00,1.47519
324.50,1.46214
325.00,1.44976
325.50,1.43557
326.00,1.42361
326.50,1.41088
327.00,1.39888
327.50,1.38629
328.00,1.37308
328.50,1.36177
329.00,1.35007
329.50,1.33967
330.00,1.32702
330.50,1.31539
331.00,1.30503
331.50,1.29492
332.00,1.28470
332.50,1.27505
333.00,1.26308
333.50,1.25280
334.00,1.24051
334.50,1.23219
335.00,1.22109
335.50,1.21161
336.00,1.20069
336.50,1.18933
337.00,1.17983
337.50,1.17212
338.00,1.16475
338.50,1.15709
339.00,1.14789
339.50,1.14188
340.00,1.13387
340.50,1.12633
341.00,1.11918
341.50,1.11357
342.00,1.11018
342.50,1.10501
343.00,1.10058
343.50,1.09531
344.00,1.09251
344.50,1.08853
345.00,1.08508
345.50,1.08040
346.00,1.07814
346.50,1.07587
347.00,1.07406
347.50,1.07170
348.00,1.06920
348.50,1.06973
349.00,1.06806
349.50,1.06870
350.00,1.06577
350.50,1.06644
351.00,1.06541
351.50,1.06661
352.00,1.06630
352.50,1.06680
353.00,1.06777
353.50,1.06960
354.00,1.07240
354.50,1.07270
355.00,1.07463
355.50,1.07432
356.00,1.07782
356.50,1.07815
357.00,1.08178
357.50,1.08214
358.00,1.08446
358.50,1.08464
359.00,1.08592
359.50,1.08686
360.00,1.08657
360.50,1.08650
361.00,1.08472
361.50,1.08459
362.00,1.08272
362.50,1.08064
363.00,1.07676
363.50,1.07227
364.00,1.06837
364.50,1.06472
365.00,1.05953
365.50,1.05498
366.00,1.04682
366.50,1.04106
367.00,1.03185
367.50,1.02451
368.00,1.01678
368.50,1.00988
369.00,1.00049
369.50,0.98866
370.00,0.97834
370.50,0.96822
371.00,0.95935
371.50,0.94720
372.00,0.93788
372.50,0.92665
373.00,0.91757
373.50,0.90501
374.00,0.89470
374.50,0.88294
375.00,0.87343
375.50,0.86273
376.00,0.85387
376.50,0.84290
377.00,0.83407
377.50,0.82277
378.00,0.81351
378.50,0.80342
379.00,0.79527
379.50,0.78739
380.00,0.77870
380.50,0.77214
381.00,0.76510
381.50,0.76034
382.00,0.75294
382.50,0.74912
383.00,0.74363
383.50,0.74158
384.00,0.73736
384.50,0.73594
385.00,0.73380
385.50,0.73204
386.00,0.73143
386.50,0.72998
387.00,0.73114
387.50,0.72995
388.00,0.73100
388.50,0.72954
389.00,0.73063
389.50,0.72939
390.00,0.73037
390.50,0.72921
391.00,0.72939
391.50,0.72803
392.00,0.72732
392.50,0.72567
393.00,0.72402
393.50,0.72028
394.00,0.71742
394.50,0.71323
395.00,0.70952
395.50,0.70497
396.00,0.70009
396.50,0.69519
397.00,0.68813
397.50,0.68125
398.00,0.67398
398.50,0.66733
399.00,0.65985
399.50,0.65223
400.00,0.64469
400.50,0.63701
401.00,0.62921
401.50,0.62135
402.00,0.61366
402.50,0.60594
403.00,0.59809
403.50,0.59134
404.00,0.58467
404.50,0.57877
405.00,0.57313
405.50,0.56890
406.00,0.56442
406.50,0.56248
407.00,0.55967
407.50,0.55933
408.00,0.55763
408.50,0.55906
409.00,0.56072
409.50,0.56400
410.00,0.56771
410.50,0.57248
411.00,0.57910
411.50,0.58570
412.00,0.59492
412.50,0.60396
413.00,0.61562
413.50,0.62672
414.00,0.63923
414.50,0.65252
415.00,0.66603
415.50,0.68122
416.00,0.69480
416.50,0.71091
417.00,0.72540
417.50,0.74225
418.00,0.75701
418.50,0.77271
419.00,0.78744
419.50,0.80191
420.00,0.81448
420.50,0.82722
421.00,0.83813
421.50,0.84985
422.00,0.85827
422.50,0.86801
423.00,0.87466
423.50,0.88154
424.00,0.88555
424.50,0.88837
425.00,0.88908
425.50,0.88897
426.00,0.88731
426.50,0.88313
427.00,0.87641
427.50,0.86698
428.00,0.85633
428.50,0.84390
429.00,0.83034
429.50,0.81472
430.00,0.79768
430.50,0.77905
431.00,0.75921
431.50,0.73795
432.00,0.71495
432.50,0.69059
433.00,0.66517
433.50,0.64011
434.00,0.61415
434.50,0.58766
435.00,0.56012
435.50,0.53213
436.00,0.50411
436.50,0.47590
437.00,0.44935
437.50,0.42246
438.00,0.39665
438.50,0.36998
439.00,0.34521
439.50,0.32086
440.00,0.29822
440.50,0.27656
441.00,0.25534
441.50,0.23580
442.00,0.21594
442.50,0.19898
443.00,0.18158
443.50,0.16764
444.00,0.15352
444.50,0.14173
445.00,0.13009
445.50,0.11965
446.00,0.11056
446.50,0.10151
447.00,0.09454
447.50,0.08659
448.00,0.08119
448.50,0.07445
449.00,0.07063
449.50,0.06538
450.00,0.06166
450.50,0.05739
451.00,0.05440
451.50,0.05216
452.00,0.04917
452.50,0.04737
453.00,0.04390
453.50,0.04314
454.00,0.04016
454.50,0.03994
455.00,0.03697
455.50,0.03639
456.00,0.03428
456.50,0.03372
457.00,0.03270
457.50,0.03168
458.00,0.03078
458.50,0.02925
459.00,0.02888
459.50,0.02770
460.00,0.02732
460.50,0.02646
461.00,0.02626
461.50,0.02583
462.00,0.02560
462.50,0.02514
463.00,0.02489
463.50,0.02414
464.00,0.02423
464.50,0.02377
465.00,0.02400
465.50,0.02325
466.00,0.02322
466.50,0.02251
467.00,0.02279
467.50,0.02241
468.00,0.02251
468.50,0.02189
469.00,0.02184
469.50,0.02165
470.00,0.02144
470.50,0.02165
471.00,0.02119
471.50,0.02179
472.00,0.02106
472.50,0.02149
473.00,0.02105
473.50,0.02177
474.00,0.02115
474.50,0.02136
475.00,0.02056
475.50,0.02087
476.00,0.02016
476.50,0.02041
477.00,0.02052
477.50,0.02115
478.00,0.02110
478.50,0.02045
479.00,0.02044
479.50,0.01982
480.00,0.02068
480.50,0.02008
481.00,0.02076
481.50,0.01967
482.00,0.01988
482.50,0.01955
483.00,0.01990
483.50,0.01991
484.00,0.01980
484.50,0.02032
485.00,0.01958
485.50,0.01973
486.00,0.01911
486.50,0.01974
487.00,0.01913
487.50,0.01955
488.00,0.01933
488.50,0.01987
489.00,0.01958
489.50,0.01985
490.00,0.01985
490.50,0.01965
491.00,0.01954
491.50,0.01908
492.00,0.01972
492.50,0.01901
493.00,0.02033
493.50,0.01874
494.00,0.01959
494.50,0.01786
495.00,0.01924
495.50,0.01831
496.00,0.01894
496.50,0.01871
497.00,0.01911
497.50,0.01955
498.00,0.01885
498.50,0.01938
499.00,0.01818
499.50,0.01932
500.00,0.01813
500.50,0.01920
501.00,0.01804
501.50,0.01903
502.00,0.01820
502.50,0.01869
503.00,0.01828
503.50,0.01812
504.00,0.01810
504.50,0.01749
505.00,0.01829
505.50,0.01771
506.00,0.01883
506.50,0.01770
507.00,0.01896
507.50,0.01770
508.00,0.01913
508.50,0.01723
509.00,0.01808
509.50,0.01714
510.00,0.01831
510.50,0.01807
511.00,0.01780
511.50,0.01790
512.00,0.01719
512.50,0.01811
513.00,0.01715
513.50,0.01804
514.00,0.01685
514.50,0.01734
515.00,0.01675
515.50,0.01764
516.00,0.01722
516.50,0.01745
517.00,0.01693
517.50,0.01723
518.00,0.01725
518.50,0.01715
519.00,0.01718
519.50,0.01706
520.00,0.01720
520.50,0.01724
521.00,0.01750
521.50,0.01783
522.00,0.01758
522.50,0.01729
523.00,0.01709
523.50,0.01715
524.00,0.01714
524.50,0.01691
525.00,0.01697
525.50,0.01672
526.00,0.01717
526.50,0.01696
527.00,0.01736
527.50,0.01703
528.00,0.01696
528.50,0.01679
529.00,0.01667
529.50,0.01697
530.00,0.01755
530.50,0.01683
531.00,0.01732
531.50,0.01696
532.00,0.01760
532.50,0.01695
533.00,0.01655
533.50,0.01665
534.00,0.01685
534.50,0.01666
535.00,0.01704
535.50,0.01679
536.00,0.01714
536.50,0.01632
537.00,0.01643
537.50,0.01616
538.00,0.01676
538.50,0.01599
539.00,0.01642
539.50,0.01592
540.00,0.01662
