"16min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.96469
250.50,1.94979
251.00,1.91887
251.50,1.90901
252.00,2.03767
252.50,2.02062
253.00,2.13505
253.50,2.08415
254.00,2.25409
254.50,2.42484
255.00,2.36840
255.50,2.39626
256.00,2.21232
256.50,2.09750
257.00,2.05390
257.50,2.08414
258.00,2.18274
258.50,2.31358
259.00,2.19213
259.50,2.22666
260.00,2.21284
260.50,2.29412
261.00,2.39206
261.50,2.38474
262.00,2.44546
262.50,2.25031
263.00,2.19886
263.50,2.22728
264.00,2.35203
264.50,2.52353
265.00,2.72815
265.50,2.80452
266.00,2.65448
266.50,2.60319
267.00,2.53802
267.50,2.61718
268.00,2.65419
268.50,2.70523
269.00,2.73453
269.50,2.73097
270.00,3.00046
270.50,3.08412
271.00,3.31461
271.50,3.17594
272.00,2.88287
272.50,2.86936
273.00,2.74951
273.50,2.78192
274.00,2.73704
274.50,2.74181
275.00,2.93290
275.50,3.01255
276.00,3.49673
276.50,3.14485
277.00,3.06703
277.50,3.01449
278.00,2.96455
278.50,3.15033
279.00,3.04034
279.50,3.03609
280.00,3.14469
280.50,3.10157
281.00,3.25819
281.50,2.92355
282.00,2.94694
282.50,2.96533
283.00,3.19123
283.50,3.41092
284.00,3.42893
284.50,3.45278
285.00,3.22960
285.50,3.21184
286.00,3.14469
286.50,3.33114
287.00,3.39186
287.50,3.44276
288.00,3.18084
288.50,3.15454
289.00,3.16928
289.50,3.69540
290.00,3.61577
290.50,3.52354
291.00,3.24739
291.50,3.21467
292.00,3.25480
292.50,3.39742
293.00,3.58442
293.50,3.45170
294.00,3.31446
294.50,3.22549
295.00,3.25451
295.50,3.16489
296.00,3.24636
296.50,3.26527
297.00,3.30226
297.50,3.23346
298.00,3.24241
298.50,3.35318
299.00,3.37551
299.50,3.41133
300.00,3.47018
300.50,3.30247
301.00,3.25683
301.50,3.19104
302.00,3.26604
302.50,3.25385
303.00,3.27812
303.50,3.25989
304.00,3.25101
304.50,3.28516
305.00,3.27029
305.50,3.26964
306.00,3.25745
306.50,3.25991
307.00,3.17869
307.50,3.12989
308.00,3.13105
308.50,3.16446
309.00,3.11251
309.50,3.07848
310.00,3.00135
310.50,2.98795
311.00,2.99870
311.50,2.97172
312.00,2.90745
312.50,2.85746
313.00,2.85994
313.50,2.85881
314.00,2.81729
314.50,2.78453
315.00,2.76006
315.50,2.77436
316.00,2.76411
316.50,2.72565
317.00,2.70803
317.50,2.67287
318.00,2.67730
318.50,2.63159
319.00,2.61743
319.50,2.59304
320.00,2.57799
320.50,2.55635
321.00,2.53434
321.50,2.51257
322.00,2.49853
322.50,2.48422
323.00,2.47152
323.50,2.45274
324.00,2.43131
324.50,2.42233
325.00,2.39749
325.50,2.38910
326.00,2.36818
326.50,2.36092
327.00,2.34199
327.50,2.32642
328.00,2.31628
328.50,2.30486
329.00,2.28985
329.50,2.27458
330.00,2.26139
330.50,2.25037
331.00,2.23964
331.50,2.23471
332.00,2.22623
332.50,2.21958
333.00,2.20818
333.50,2.20586
334.00,2.19845
334.50,2.20003
335.00,2.19640
335.50,2.19742
336.00,2.19568
336.50,2.20102
337.00,2.20756
337.50,2.21177
338.00,2.21126
338.50,2.21349
339.00,2.22146
339.50,2.22415
340.00,2.23138
340.50,2.23151
341.00,2.23610
341.50,2.23161
342.00,2.23223
342.50,2.23179
343.00,2.22696
343.50,2.22139
344.00,2.21607
344.50,2.21605
345.00,2.20596
345.50,2.19780
346.00,2.18814
346.50,2.18634
347.00,2.17891
347.50,2.17106
348.00,2.15755
348.50,2.14731
349.00,2.13808
349.50,2.13041
350.00,2.12021
350.50,2.10654
351.00,2.09386
351.50,2.08195
352.00,2.07453
352.50,2.06176
353.00,2.05054
353.50,2.03297
354.00,2.01491
354.50,1.99125
355.00,1.96995
355.50,1.95055
356.00,1.93155
356.50,1.90643
357.00,1.88200
357.50,1.85526
358.00,1.83193
358.50,1.80394
359.00,1.77959
359.50,1.75263
360.00,1.72216
360.50,1.69130
361.00,1.66213
361.50,1.63595
362.00,1.60907
362.50,1.58266
363.00,1.55690
363.50,1.53475
364.00,1.51249
364.50,1.49501
365.00,1.47954
365.50,1.46605
366.00,1.45438
366.50,1.44170
367.00,1.43310
367.50,1.42564
368.00,1.42209
368.50,1.41800
369.00,1.41579
369.50,1.41531
370.00,1.41840
370.50,1.42174
371.00,1.42564
371.50,1.43056
372.00,1.43741
372.50,1.44460
373.00,1.45206
373.50,1.46099
374.00,1.47019
374.50,1.48352
375.00,1.49463
375.50,1.50810
376.00,1.51793
376.50,1.53090
377.00,1.54164
377.50,1.55403
378.00,1.56336
378.50,1.57384
379.00,1.58066
379.50,1.58768
380.00,1.59140
380.50,1.59180
381.00,1.58982
381.50,1.58268
382.00,1.57464
382.50,1.56073
383.00,1.54517
383.50,1.52561
384.00,1.50375
384.50,1.47977
385.00,1.45253
385.50,1.42425
386.00,1.39290
386.50,1.36100
387.00,1.32723
387.50,1.29352
388.00,1.26101
388.50,1.22991
389.00,1.19829
389.50,1.16848
390.00,1.13847
390.50,1.11312
391.00,1.08760
391.50,1.06604
392.00,1.04429
392.50,1.02703
393.00,1.01137
393.50,1.00036
394.00,0.99045
394.50,0.98458
395.00,0.98137
395.50,0.98210
396.00,0.98624
396.50,0.99281
397.00,1.00217
397.50,1.01499
398.00,1.03073
398.50,1.05164
399.00,1.07393
399.50,1.10051
400.00,1.12883
400.50,1.16282
401.00,1.19961
401.50,1.23823
402.00,1.27665
402.50,1.31681
403.00,1.35968
403.50,1.40611
404.00,1.45299
404.50,1.49997
405.00,1.54741
405.50,1.60016
406.00,1.65079
406.50,1.69862
407.00,1.73928
407.50,1.78353
408.00,1.82498
408.50,1.86332
409.00,1.89640
409.50,1.92418
410.00,1.95106
410.50,1.97250
411.00,1.98825
411.50,1.99572
412.00,1.99518
412.50,1.98594
413.00,1.97768
413.50,1.97183
414.00,1.96453
414.50,1.94765
415.00,1.92322
415.50,1.89823
416.00,1.87152
416.50,1.84299
417.00,1.80858
417.50,1.76922
418.00,1.72327
418.50,1.67472
419.00,1.62183
419.50,1.56592
420.00,1.51324
420.50,1.46453
421.00,1.41221
421.50,1.35272
422.00,1.29046
422.50,1.22733
423.00,1.16522
423.50,1.10146
424.00,1.04001
424.50,0.97801
425.00,0.91556
425.50,0.85258
426.00,0.78731
426.50,0.72220
427.00,0.66282
427.50,0.61150
428.00,0.56340
428.50,0.51550
429.00,0.46898
429.50,0.42765
430.00,0.39110
430.50,0.35872
431.00,0.32975
431.50,0.30494
432.00,0.28001
432.50,0.25582
433.00,0.23254
433.50,0.21362
434.00,0.19539
434.50,0.17653
435.00,0.16053
435.50,0.14893
436.00,0.14022
436.50,0.13037
437.00,0.12246
437.50,0.11670
438.00,0.11412
438.50,0.11042
439.00,0.10795
439.50,0.10498
440.00,0.10097
440.50,0.09420
441.00,0.08591
441.50,0.07870
442.00,0.07393
442.50,0.07273
443.00,0.07277
443.50,0.07515
444.00,0.07670
444.50,0.08086
445.00,0.08306
445.50,0.08586
446.00,0.08444
446.50,0.08204
447.00,0.07940
447.50,0.07933
448.00,0.07989
448.50,0.07852
449.00,0.07637
449.50,0.07383
450.00,0.07132
450.50,0.06799
451.00,0.06612
451.50,0.06601
452.00,0.06679
452.50,0.06777
453.00,0.06734
453.50,0.06706
454.00,0.06690
454.50,0.06921
455.00,0.07079
455.50,0.07082
456.00,0.07042
456.50,0.07009
457.00,0.07093
457.50,0.06888
458.00,0.06992
458.50,0.07067
459.00,0.07118
459.50,0.06525
460.00,0.06054
460.50,0.05823
461.00,0.06051
461.50,0.06274
462.00,0.06184
462.50,0.05857
463.00,0.05456
463.50,0.05516
464.00,0.05683
464.50,0.05899
465.00,0.05758
465.50,0.05634
466.00,0.05339
466.50,0.05104
467.00,0.04968
467.50,0.04953
468.00,0.05000
468.50,0.04918
469.00,0.04612
469.50,0.04144
470.00,0.03809
470.50,0.03752
471.00,0.03977
471.50,0.04341
472.00,0.04431
472.50,0.04383
473.00,0.03995
473.50,0.03785
474.00,0.03795
474.50,0.04377
475.00,0.04591
475.50,0.04473
476.00,0.03478
476.50,0.02690
477.00,0.02508
477.50,0.03379
478.00,0.04294
478.50,0.04657
479.00,0.04730
479.50,0.05220
480.00,0.05591
480.50,0.05205
481.00,0.04914
481.50,0.05005
482.00,0.05447
482.50,0.05213
483.00,0.04812
483.50,0.04308
484.00,0.03401
484.50,0.01696
485.00,0.01320
485.50,0.02631
486.00,0.04631
486.50,0.05190
487.00,0.04856
487.50,0.05020
488.00,0.05327
488.50,0.05374
489.00,0.05268
489.50,0.05493
490.00,0.05591
490.50,0.05481
491.00,0.05331
491.50,0.05616
492.00,0.05861
492.50,0.05877
493.00,0.05849
493.50,0.06072
494.00,0.06215
494.50,0.05980
495.00,0.05634
495.50,0.05383
496.00,0.05385
496.50,0.05457
497.00,0.05433
497.50,0.05316
498.00,0.05216
498.50,0.05530
499.00,0.03888
499.50,0.01958
500.00,-0.00185
500.50,-0.00379
501.00,-0.00385
501.50,-0.00245
502.00,-0.00265
502.50,-0.00228
503.00,-0.00221
503.50,-0.00265
504.00,-0.00184
504.50,-0.00229
505.00,-0.00125
505.50,-0.00205
506.00,-0.00116
506.50,-0.00174
507.00,-0.00067
507.50,-0.00110
508.00,-0.00038
508.50,-0.00119
509.00,-0.00142
509.50,-0.00187
510.00,-0.00250
510.50,-0.00304
511.00,-0.00432
511.50,-0.00341
512.00,-0.00404
512.50,-0.00308
513.00,-0.00445
513.50,-0.00324
514.00,-0.00330
514.50,-0.00297
515.00,-0.00274
515.50,-0.00239
516.00,-0.00151
516.50,-0.00234
517.00,-0.00223
517.50,-0.00298
518.00,-0.00199
518.50,-0.00281
519.00,-0.00220
519.50,-0.00326
520.00,-0.00105
520.50,-0.00204
521.00,-0.00263
521.50,-0.00443
522.00,-0.00494
522.50,-0.00514
523.00,-0.00627
523.50,-0.00553
524.00,-0.00512
524.50,-0.00488
525.00,-0.00455
525.50,-0.00403
526.00,-0.00272
526.50,-0.00314
527.00,-0.00273
527.50,-0.00336
528.00,-0.00268
528.50,-0.00381
529.00,-0.00369
529.50,-0.00341
530.00,-0.00172
530.50,-0.00207
531.00,-0.00189
531.50,-0.00352
532.00,-0.00275
532.50,-0.00325
533.00,-0.00188
533.50,-0.00318
534.00,-0.00299
534.50,-0.00355
535.00,-0.00244
535.50,-0.00325
536.00,-0.00327
536.50,-0.00316
537.00,-0.00299
537.50,-0.00347
538.00,-0.00429
538.50,-0.00405
539.00,-0.00430
539.50,-0.00455
540.00,-0.00594
540.50,-0.00518
541.00,-0.00569
541.50,-0.00456
542.00,-0.00637
542.50,-0.00516
543.00,-0.00649
543.50,-0.00509
544.00,-0.00635
544.50,-0.00499
545.00,-0.00532
545.50,-0.00429
546.00,-0.00458
546.50,-0.00447
547.00,-0.00422
547.50,-0.00414
548.00,-0.00308
548.50,-0.00415
549.00,-0.00290
549.50,-0.00347
550.00,-0.00197
550.50,-0.00387
551.00,-0.00380
551.50,-0.00446
552.00,-0.00423
552.50,-0.00552
553.00,-0.00650
553.50,-0.00540
554.00,-0.00532
554.50,-0.00470
555.00,-0.00621
555.50,-0.00473
556.00,-0.00523
556.50,-0.00469
557.00,-0.00554
557.50,-0.00393
558.00,-0.00357
558.50,-0.00343
559.00,-0.00410
559.50,-0.00421
560.00,-0.00361
560.50,-0.00424
561.00,-0.00309
561.50,-0.00364
562.00,-0.00257
562.50,-0.00423
563.00,-0.00361
563.50,-0.00431
564.00,-0.00384
564.50,-0.00505
