"ZnS-LMY - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.580
201.00,0.961
202.00,0.651
203.00,0.995
204.00,1.098
205.00,1.192
206.00,1.213
207.00,1.312
208.00,1.276
209.00,1.248
210.00,1.246
211.00,1.179
212.00,1.180
213.00,1.100
214.00,1.130
215.00,1.082
216.00,1.070
217.00,1.060
218.00,1.023
219.00,1.021
220.00,1.003
221.00,0.995
222.00,0.978
223.00,0.966
224.00,0.958
225.00,0.939
226.00,0.928
227.00,0.904
228.00,0.877
229.00,0.847
230.00,0.815
231.00,0.777
232.00,0.745
233.00,0.720
234.00,0.687
235.00,0.655
236.00,0.625
237.00,0.597
238.00,0.565
239.00,0.541
240.00,0.519
241.00,0.503
242.00,0.499
243.00,0.500
244.00,0.510
245.00,0.528
246.00,0.546
247.00,0.561
248.00,0.577
249.00,0.587
250.00,0.602
251.00,0.615
252.00,0.632
253.00,0.654
254.00,0.675
255.00,0.693
256.00,0.700
257.00,0.694
258.00,0.672
259.00,0.638
260.00,0.590
261.00,0.541
262.00,0.488
263.00,0.435
264.00,0.381
265.00,0.332
266.00,0.288
267.00,0.246
268.00,0.212
269.00,0.184
270.00,0.157
271.00,0.135
272.00,0.118
273.00,0.102
274.00,0.090
275.00,0.078
276.00,0.070
277.00,0.062
278.00,0.057
279.00,0.051
280.00,0.046
281.00,0.041
282.00,0.038
283.00,0.035
284.00,0.031
285.00,0.029
286.00,0.027
287.00,0.024
288.00,0.022
289.00,0.022
290.00,0.019
291.00,0.018
292.00,0.016
293.00,0.015
294.00,0.015
295.00,0.013
296.00,0.013
297.00,0.011
298.00,0.012
299.00,0.011
300.00,0.011
301.00,0.008
302.00,0.008
303.00,0.007
304.00,0.009
305.00,0.008
306.00,0.007
307.00,0.009
308.00,0.009
309.00,0.006
310.00,0.005
311.00,0.006
312.00,0.009
313.00,0.007
314.00,0.006
315.00,0.007
316.00,0.008
317.00,0.008
318.00,0.008
319.00,0.007
320.00,0.006
321.00,0.007
322.00,0.006
323.00,0.005
324.00,0.007
325.00,0.006
326.00,0.006
327.00,0.006
328.00,0.006
329.00,0.005
330.00,0.007
331.00,0.005
332.00,0.005
333.00,0.003
334.00,0.005
335.00,0.006
336.00,0.005
337.00,0.006
338.00,0.005
339.00,0.006
340.00,0.004
341.00,0.005
342.00,0.005
343.00,0.005
344.00,0.005
345.00,0.003
346.00,0.004
347.00,0.004
348.00,0.004
349.00,0.004
350.00,0.005
351.00,0.004
352.00,0.004
353.00,0.004
354.00,0.004
355.00,0.004
356.00,0.003
357.00,0.004
358.00,0.003
359.00,0.003
360.00,0.004
361.00,0.004
362.00,0.004
363.00,0.002
364.00,0.003
365.00,0.003
366.00,0.005
367.00,0.004
368.00,0.003
369.00,0.003
370.00,0.003
371.00,0.003
372.00,0.004
373.00,0.003
374.00,0.001
375.00,0.003
376.00,0.004
377.00,0.003
378.00,0.003
379.00,0.003
380.00,0.002
381.00,0.003
382.00,0.002
383.00,0.002
384.00,0.003
385.00,0.003
386.00,0.003
387.00,0.003
388.00,0.003
389.00,0.003
390.00,0.003
391.00,0.003
392.00,0.003
393.00,0.002
394.00,0.002
395.00,0.002
396.00,0.003
397.00,0.001
398.00,0.002
399.00,0.002
400.00,0.002
401.00,0.002
402.00,0.002
403.00,0.001
404.00,0.002
405.00,0.002
406.00,0.003
407.00,0.003
408.00,0.002
409.00,0.002
410.00,0.002
411.00,0.002
412.00,0.002
413.00,0.002
414.00,0.002
415.00,0.002
416.00,0.002
417.00,0.001
418.00,0.001
419.00,0.002
420.00,0.001
421.00,0.002
422.00,0.002
423.00,0.002
424.00,0.002
425.00,0.001
426.00,0.001
427.00,0.001
428.00,0.002
429.00,0.001
430.00,0.002
431.00,0.001
432.00,0.001
433.00,0.001
434.00,0.002
435.00,0.001
436.00,0.001
437.00,0.001
438.00,0.001
439.00,0.002
440.00,0.001
441.00,0.001
442.00,0.001
443.00,0.001
444.00,0.001
445.00,0.001
446.00,0.001
447.00,0.001
448.00,0.001
449.00,0.001
450.00,0.001
451.00,0.001
452.00,0.001
453.00,0.001
454.00,0.001
455.00,0.001
456.00,0.001
457.00,0.001
458.00,0.000
459.00,0.001
460.00,0.001
461.00,0.001
462.00,0.001
463.00,0.001
464.00,0.001
465.00,0.000
466.00,0.001
467.00,0.000
468.00,0.000
469.00,0.000
470.00,0.000
471.00,0.001
472.00,0.000
473.00,0.000
474.00,0.001
475.00,0.001
476.00,0.001
477.00,0.001
478.00,0.000
479.00,0.000
480.00,-0.000
481.00,0.000
482.00,0.000
483.00,0.000
484.00,0.000
485.00,0.000
486.00,0.001
487.00,-0.000
488.00,-0.000
489.00,-0.001
490.00,0.000
491.00,0.000
492.00,0.000
493.00,0.000
494.00,-0.000
495.00,0.000
496.00,0.000
497.00,0.000
498.00,-0.000
499.00,0.000
500.00,-0.000
