"ZnS-XH - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.215
201.00,0.604
202.00,0.816
203.00,0.989
204.00,1.140
205.00,1.121
206.00,1.157
207.00,1.158
208.00,1.150
209.00,1.142
210.00,1.192
211.00,1.098
212.00,1.135
213.00,1.089
214.00,1.058
215.00,1.042
216.00,1.033
217.00,1.007
218.00,0.982
219.00,0.955
220.00,0.942
221.00,0.922
222.00,0.892
223.00,0.862
224.00,0.839
225.00,0.810
226.00,0.782
227.00,0.745
228.00,0.711
229.00,0.681
230.00,0.651
231.00,0.618
232.00,0.593
233.00,0.574
234.00,0.551
235.00,0.533
236.00,0.515
237.00,0.503
238.00,0.482
239.00,0.469
240.00,0.462
241.00,0.459
242.00,0.463
243.00,0.472
244.00,0.486
245.00,0.509
246.00,0.531
247.00,0.555
248.00,0.574
249.00,0.594
250.00,0.613
251.00,0.628
252.00,0.648
253.00,0.668
254.00,0.688
255.00,0.703
256.00,0.707
257.00,0.701
258.00,0.684
259.00,0.655
260.00,0.614
261.00,0.567
262.00,0.516
263.00,0.462
264.00,0.404
265.00,0.353
266.00,0.303
267.00,0.257
268.00,0.219
269.00,0.185
270.00,0.157
271.00,0.132
272.00,0.112
273.00,0.095
274.00,0.084
275.00,0.071
276.00,0.064
277.00,0.055
278.00,0.050
279.00,0.046
280.00,0.043
281.00,0.038
282.00,0.036
283.00,0.033
284.00,0.030
285.00,0.029
286.00,0.026
287.00,0.024
288.00,0.021
289.00,0.020
290.00,0.018
291.00,0.015
292.00,0.013
293.00,0.012
294.00,0.011
295.00,0.009
296.00,0.008
297.00,0.005
298.00,0.007
299.00,0.006
300.00,0.005
301.00,0.004
302.00,0.003
303.00,0.004
304.00,0.002
305.00,0.002
306.00,0.001
307.00,0.003
308.00,0.003
309.00,0.001
310.00,0.000
311.00,0.001
312.00,0.002
313.00,0.003
314.00,0.001
315.00,-0.000
316.00,0.003
317.00,0.001
318.00,0.001
319.00,0.003
320.00,0.001
321.00,0.002
322.00,0.001
323.00,0.002
324.00,0.002
325.00,0.001
326.00,-0.000
327.00,0.001
328.00,0.000
329.00,-0.000
330.00,-0.000
331.00,0.000
332.00,-0.000
333.00,-0.000
334.00,0.001
335.00,0.000
336.00,0.000
337.00,-0.001
338.00,-0.002
339.00,0.001
340.00,-0.000
341.00,0.000
342.00,0.000
343.00,-0.001
344.00,-0.000
345.00,-0.001
346.00,0.000
347.00,-0.002
348.00,-0.000
349.00,-0.001
350.00,-0.000
351.00,-0.002
352.00,-0.001
353.00,-0.001
354.00,-0.001
355.00,-0.001
356.00,-0.002
357.00,-0.001
358.00,-0.002
359.00,-0.001
360.00,-0.002
361.00,-0.001
362.00,0.000
363.00,-0.002
364.00,-0.002
365.00,-0.001
366.00,-0.001
367.00,-0.001
368.00,-0.001
369.00,-0.001
370.00,-0.001
371.00,-0.002
372.00,-0.001
373.00,-0.002
374.00,-0.002
375.00,-0.002
376.00,-0.001
377.00,-0.002
378.00,-0.001
379.00,-0.002
380.00,-0.000
381.00,-0.002
382.00,-0.001
383.00,-0.002
384.00,-0.001
385.00,-0.001
386.00,-0.001
387.00,-0.002
388.00,-0.001
389.00,-0.001
390.00,-0.002
391.00,-0.002
392.00,-0.001
393.00,-0.001
394.00,-0.003
395.00,-0.001
396.00,-0.002
397.00,-0.003
398.00,-0.002
399.00,-0.002
400.00,-0.002
401.00,-0.002
402.00,-0.002
403.00,-0.002
404.00,-0.002
405.00,-0.002
406.00,-0.001
407.00,-0.002
408.00,-0.002
409.00,-0.001
410.00,-0.002
411.00,-0.002
412.00,-0.002
413.00,-0.002
414.00,-0.002
415.00,-0.001
416.00,-0.002
417.00,-0.002
418.00,-0.002
419.00,-0.001
420.00,-0.002
421.00,-0.001
422.00,-0.002
423.00,-0.002
424.00,-0.002
425.00,-0.002
426.00,-0.002
427.00,-0.002
428.00,-0.002
429.00,-0.002
430.00,-0.002
431.00,-0.002
432.00,-0.002
433.00,-0.002
434.00,-0.001
435.00,-0.002
436.00,-0.002
437.00,-0.002
438.00,-0.002
439.00,-0.002
440.00,-0.002
441.00,-0.002
442.00,-0.002
443.00,-0.002
444.00,-0.002
445.00,-0.002
446.00,-0.001
447.00,-0.002
448.00,-0.002
449.00,-0.002
450.00,-0.002
451.00,-0.002
452.00,-0.002
453.00,-0.002
454.00,-0.002
455.00,-0.002
456.00,-0.002
457.00,-0.002
458.00,-0.002
459.00,-0.002
460.00,-0.002
461.00,-0.002
462.00,-0.002
463.00,-0.002
464.00,-0.002
465.00,-0.002
466.00,-0.002
467.00,-0.002
468.00,-0.002
469.00,-0.002
470.00,-0.002
471.00,-0.002
472.00,-0.002
473.00,-0.001
474.00,-0.002
475.00,-0.002
476.00,-0.002
477.00,-0.002
478.00,-0.002
479.00,-0.002
480.00,-0.002
481.00,-0.002
482.00,-0.002
483.00,-0.003
484.00,-0.002
485.00,-0.002
486.00,-0.002
487.00,-0.002
488.00,-0.002
489.00,-0.003
490.00,-0.002
491.00,-0.002
492.00,-0.002
493.00,-0.002
494.00,-0.002
495.00,-0.002
496.00,-0.002
497.00,-0.002
498.00,-0.002
499.00,-0.002
500.00,-0.002
