"ZnS小尺寸130℃ - RawData"
"波长(nm)","吸收值"
200.00,0.717
201.00,1.024
202.00,0.952
203.00,1.197
204.00,1.419
205.00,1.327
206.00,1.340
207.00,1.388
208.00,1.341
209.00,1.362
210.00,1.327
211.00,1.285
212.00,1.248
213.00,1.224
214.00,1.191
215.00,1.148
216.00,1.114
217.00,1.080
218.00,1.042
219.00,1.004
220.00,0.969
221.00,0.932
222.00,0.900
223.00,0.862
224.00,0.828
225.00,0.794
226.00,0.758
227.00,0.724
228.00,0.692
229.00,0.662
230.00,0.639
231.00,0.622
232.00,0.613
233.00,0.613
234.00,0.620
235.00,0.631
236.00,0.645
237.00,0.660
238.00,0.671
239.00,0.683
240.00,0.694
241.00,0.709
242.00,0.732
243.00,0.762
244.00,0.797
245.00,0.833
246.00,0.863
247.00,0.879
248.00,0.874
249.00,0.850
250.00,0.806
251.00,0.751
252.00,0.688
253.00,0.622
254.00,0.554
255.00,0.489
256.00,0.429
257.00,0.372
258.00,0.320
259.00,0.274
260.00,0.230
261.00,0.194
262.00,0.164
263.00,0.136
264.00,0.112
265.00,0.094
266.00,0.079
267.00,0.065
268.00,0.057
269.00,0.048
270.00,0.042
271.00,0.037
272.00,0.033
273.00,0.030
274.00,0.027
275.00,0.024
276.00,0.022
277.00,0.021
278.00,0.019
279.00,0.018
280.00,0.016
281.00,0.016
282.00,0.015
283.00,0.013
284.00,0.013
285.00,0.012
286.00,0.012
287.00,0.011
288.00,0.010
289.00,0.009
290.00,0.009
291.00,0.009
292.00,0.008
293.00,0.008
294.00,0.008
295.00,0.007
296.00,0.007
297.00,0.007
298.00,0.007
299.00,0.007
300.00,0.006
301.00,0.006
302.00,0.007
303.00,0.007
304.00,0.006
305.00,0.006
306.00,0.006
307.00,0.007
308.00,0.006
309.00,0.006
310.00,0.006
311.00,0.005
312.00,0.005
313.00,0.005
314.00,0.005
315.00,0.004
316.00,0.004
317.00,0.004
318.00,0.005
319.00,0.004
320.00,0.005
321.00,0.004
322.00,0.005
323.00,0.004
324.00,0.005
325.00,0.004
326.00,0.004
327.00,0.004
328.00,0.004
329.00,0.004
330.00,0.004
331.00,0.004
332.00,0.004
333.00,0.004
334.00,0.003
335.00,0.004
336.00,0.003
337.00,0.003
338.00,0.004
339.00,0.003
340.00,0.003
341.00,0.004
342.00,0.003
343.00,0.003
344.00,0.003
345.00,0.003
346.00,0.003
347.00,0.003
348.00,0.003
349.00,0.003
350.00,0.002
351.00,0.002
352.00,0.003
353.00,0.003
354.00,0.003
355.00,0.003
356.00,0.002
357.00,0.002
358.00,0.002
359.00,0.002
360.00,0.002
361.00,0.002
362.00,0.002
363.00,0.003
364.00,0.002
365.00,0.002
366.00,0.002
367.00,0.002
368.00,0.002
369.00,0.002
370.00,0.002
371.00,0.002
372.00,0.002
373.00,0.002
374.00,0.002
375.00,0.002
376.00,0.002
377.00,0.002
378.00,0.003
379.00,0.003
380.00,0.002
381.00,0.003
382.00,0.002
383.00,0.002
384.00,0.003
385.00,0.002
386.00,0.002
387.00,0.002
388.00,0.002
389.00,0.002
390.00,0.002
391.00,0.002
392.00,0.002
393.00,0.002
394.00,0.002
395.00,0.002
396.00,0.002
397.00,0.002
398.00,0.002
399.00,0.002
400.00,0.002
401.00,0.001
402.00,0.002
403.00,0.002
404.00,0.001
405.00,0.002
406.00,0.001
407.00,0.002
408.00,0.001
409.00,0.001
410.00,0.001
411.00,0.002
412.00,0.001
413.00,0.001
414.00,0.002
415.00,0.001
416.00,0.001
417.00,0.002
418.00,0.002
419.00,0.001
420.00,0.001
421.00,0.001
422.00,0.001
423.00,0.001
424.00,0.001
425.00,0.001
426.00,0.001
427.00,0.001
428.00,0.001
429.00,0.001
430.00,0.001
431.00,0.001
432.00,0.001
433.00,0.001
434.00,0.001
435.00,0.001
436.00,0.001
437.00,0.001
438.00,0.001
439.00,0.001
440.00,0.001
441.00,0.001
442.00,0.001
443.00,0.001
444.00,0.001
445.00,0.001
446.00,0.001
447.00,0.001
448.00,0.001
449.00,0.001
450.00,0.001
451.00,0.000
452.00,0.001
453.00,0.000
454.00,0.000
455.00,0.000
456.00,0.000
457.00,0.000
458.00,0.000
459.00,0.000
460.00,0.000
461.00,0.000
462.00,0.000
463.00,0.000
464.00,0.000
465.00,0.000
466.00,0.000
467.00,0.000
468.00,0.000
469.00,-0.000
470.00,0.000
471.00,0.000
472.00,0.000
473.00,0.000
474.00,0.000
475.00,0.000
476.00,0.000
477.00,0.000
478.00,-0.000
479.00,0.000
480.00,0.000
481.00,-0.000
482.00,0.000
483.00,0.000
484.00,0.000
485.00,0.000
486.00,0.000
487.00,0.000
488.00,0.001
489.00,0.000
490.00,0.001
491.00,0.001
492.00,0.001
493.00,0.001
494.00,0.001
495.00,0.001
496.00,0.001
497.00,0.001
498.00,0.001
499.00,0.001
500.00,0.001
