"ZnS小尺寸140℃-21h-0.2mL正辛胺 - RawData"
"波长(nm)","吸收值"
200.00,0.546
201.00,0.620
202.00,0.983
203.00,1.104
204.00,1.119
205.00,1.133
206.00,1.118
207.00,1.117
208.00,1.070
209.00,1.050
210.00,1.014
211.00,0.987
212.00,0.955
213.00,0.920
214.00,0.908
215.00,0.887
216.00,0.854
217.00,0.835
218.00,0.801
219.00,0.779
220.00,0.756
221.00,0.729
222.00,0.703
223.00,0.675
224.00,0.648
225.00,0.622
226.00,0.593
227.00,0.568
228.00,0.543
229.00,0.521
230.00,0.499
231.00,0.480
232.00,0.464
233.00,0.448
234.00,0.435
235.00,0.421
236.00,0.407
237.00,0.392
238.00,0.377
239.00,0.363
240.00,0.351
241.00,0.342
242.00,0.339
243.00,0.342
244.00,0.349
245.00,0.361
246.00,0.378
247.00,0.395
248.00,0.412
249.00,0.431
250.00,0.449
251.00,0.467
252.00,0.485
253.00,0.498
254.00,0.506
255.00,0.508
256.00,0.500
257.00,0.482
258.00,0.457
259.00,0.426
260.00,0.389
261.00,0.350
262.00,0.312
263.00,0.274
264.00,0.239
265.00,0.207
266.00,0.179
267.00,0.153
268.00,0.133
269.00,0.114
270.00,0.098
271.00,0.085
272.00,0.074
273.00,0.065
274.00,0.057
275.00,0.050
276.00,0.043
277.00,0.037
278.00,0.032
279.00,0.027
280.00,0.023
281.00,0.019
282.00,0.016
283.00,0.014
284.00,0.011
285.00,0.009
286.00,0.007
287.00,0.004
288.00,0.003
289.00,0.002
290.00,0.000
291.00,-0.000
292.00,-0.001
293.00,-0.002
294.00,-0.002
295.00,-0.004
296.00,-0.004
297.00,-0.004
298.00,-0.005
299.00,-0.004
300.00,-0.005
301.00,-0.005
302.00,-0.005
303.00,-0.005
304.00,-0.005
305.00,-0.004
306.00,-0.005
307.00,-0.004
308.00,-0.005
309.00,-0.005
310.00,-0.005
311.00,-0.006
312.00,-0.004
313.00,-0.005
314.00,-0.005
315.00,-0.005
316.00,-0.004
317.00,-0.005
318.00,-0.004
319.00,-0.006
320.00,-0.004
321.00,-0.005
322.00,-0.005
323.00,-0.005
324.00,-0.004
325.00,-0.004
326.00,-0.005
327.00,-0.004
328.00,-0.004
329.00,-0.003
330.00,-0.004
331.00,-0.004
332.00,-0.004
333.00,-0.004
334.00,-0.004
335.00,-0.004
336.00,-0.004
337.00,-0.004
338.00,-0.004
339.00,-0.004
340.00,-0.004
341.00,-0.004
342.00,-0.004
343.00,-0.004
344.00,-0.004
345.00,-0.004
346.00,-0.004
347.00,-0.003
348.00,-0.004
349.00,-0.004
350.00,-0.003
351.00,-0.003
352.00,-0.003
353.00,-0.003
354.00,-0.003
355.00,-0.003
356.00,-0.003
357.00,-0.003
358.00,-0.003
359.00,-0.003
360.00,-0.003
361.00,-0.004
362.00,-0.004
363.00,-0.003
364.00,-0.004
365.00,-0.003
366.00,-0.004
367.00,-0.003
368.00,-0.004
369.00,-0.003
370.00,-0.003
371.00,-0.003
372.00,-0.003
373.00,-0.003
374.00,-0.003
375.00,-0.003
376.00,-0.003
377.00,-0.003
378.00,-0.003
379.00,-0.003
380.00,-0.003
381.00,-0.003
382.00,-0.003
383.00,-0.003
384.00,-0.003
385.00,-0.002
386.00,-0.003
387.00,-0.003
388.00,-0.003
389.00,-0.003
390.00,-0.002
391.00,-0.002
392.00,-0.002
393.00,-0.002
394.00,-0.002
395.00,-0.002
396.00,-0.002
397.00,-0.002
398.00,-0.002
399.00,-0.002
400.00,-0.002
401.00,-0.002
402.00,-0.002
403.00,-0.002
404.00,-0.001
405.00,-0.002
406.00,-0.002
407.00,-0.002
408.00,-0.002
409.00,-0.002
410.00,-0.002
411.00,-0.002
412.00,-0.002
413.00,-0.001
414.00,-0.002
415.00,-0.001
416.00,-0.002
417.00,-0.001
418.00,-0.001
419.00,-0.001
420.00,-0.001
421.00,-0.001
422.00,-0.001
423.00,-0.001
424.00,-0.001
425.00,-0.001
426.00,-0.001
427.00,-0.001
428.00,-0.001
429.00,-0.001
430.00,-0.001
431.00,-0.001
432.00,-0.001
433.00,-0.001
434.00,-0.001
435.00,-0.001
436.00,-0.001
437.00,-0.001
438.00,-0.001
439.00,-0.001
440.00,-0.001
441.00,-0.001
442.00,-0.001
443.00,-0.001
444.00,-0.001
445.00,-0.001
446.00,-0.001
447.00,-0.000
448.00,-0.001
449.00,-0.001
450.00,-0.000
451.00,-0.001
452.00,-0.000
453.00,-0.000
454.00,-0.000
455.00,-0.000
456.00,-0.000
457.00,-0.000
458.00,-0.000
459.00,-0.000
460.00,-0.000
461.00,0.000
462.00,-0.000
463.00,0.000
464.00,-0.000
465.00,-0.000
466.00,-0.000
467.00,0.000
468.00,0.000
469.00,-0.000
470.00,-0.000
471.00,-0.000
472.00,0.000
473.00,0.000
474.00,0.000
475.00,-0.000
476.00,0.000
477.00,0.000
478.00,0.000
479.00,0.000
480.00,0.000
481.00,0.000
482.00,0.000
483.00,-0.000
484.00,-0.000
485.00,0.000
486.00,-0.000
487.00,0.000
488.00,-0.000
489.00,0.000
490.00,0.000
491.00,0.000
492.00,-0.000
493.00,0.000
494.00,-0.000
495.00,0.000
496.00,-0.000
497.00,-0.000
498.00,-0.000
499.00,-0.000
500.00,-0.000
