"ZnS小尺寸140℃-40m - RawData"
"波长(nm)","吸收值"
200.00,0.967
201.00,1.088
202.00,0.979
203.00,1.281
204.00,1.336
205.00,1.548
206.00,1.521
207.00,1.496
208.00,1.463
209.00,1.480
210.00,1.409
211.00,1.449
212.00,1.385
213.00,1.359
214.00,1.325
215.00,1.296
216.00,1.260
217.00,1.227
218.00,1.197
219.00,1.168
220.00,1.141
221.00,1.111
222.00,1.083
223.00,1.050
224.00,1.011
225.00,0.973
226.00,0.932
227.00,0.894
228.00,0.855
229.00,0.821
230.00,0.791
231.00,0.765
232.00,0.745
233.00,0.730
234.00,0.717
235.00,0.702
236.00,0.685
237.00,0.667
238.00,0.642
239.00,0.621
240.00,0.600
241.00,0.587
242.00,0.583
243.00,0.588
244.00,0.604
245.00,0.626
246.00,0.650
247.00,0.671
248.00,0.686
249.00,0.699
250.00,0.710
251.00,0.724
252.00,0.743
253.00,0.763
254.00,0.781
255.00,0.790
256.00,0.783
257.00,0.758
258.00,0.715
259.00,0.660
260.00,0.593
261.00,0.526
262.00,0.461
263.00,0.396
264.00,0.338
265.00,0.289
266.00,0.247
267.00,0.211
268.00,0.182
269.00,0.157
270.00,0.136
271.00,0.120
272.00,0.106
273.00,0.094
274.00,0.083
275.00,0.075
276.00,0.068
277.00,0.062
278.00,0.057
279.00,0.053
280.00,0.048
281.00,0.044
282.00,0.041
283.00,0.038
284.00,0.035
285.00,0.034
286.00,0.031
287.00,0.030
288.00,0.028
289.00,0.026
290.00,0.025
291.00,0.025
292.00,0.023
293.00,0.022
294.00,0.022
295.00,0.020
296.00,0.020
297.00,0.020
298.00,0.019
299.00,0.019
300.00,0.018
301.00,0.019
302.00,0.018
303.00,0.017
304.00,0.017
305.00,0.017
306.00,0.016
307.00,0.017
308.00,0.017
309.00,0.016
310.00,0.015
311.00,0.014
312.00,0.014
313.00,0.014
314.00,0.013
315.00,0.014
316.00,0.014
317.00,0.013
318.00,0.014
319.00,0.013
320.00,0.014
321.00,0.013
322.00,0.013
323.00,0.013
324.00,0.013
325.00,0.013
326.00,0.012
327.00,0.012
328.00,0.012
329.00,0.012
330.00,0.012
331.00,0.012
332.00,0.011
333.00,0.012
334.00,0.011
335.00,0.012
336.00,0.011
337.00,0.011
338.00,0.011
339.00,0.011
340.00,0.011
341.00,0.011
342.00,0.011
343.00,0.011
344.00,0.011
345.00,0.010
346.00,0.010
347.00,0.010
348.00,0.010
349.00,0.010
350.00,0.010
351.00,0.010
352.00,0.010
353.00,0.010
354.00,0.010
355.00,0.010
356.00,0.010
357.00,0.009
358.00,0.009
359.00,0.009
360.00,0.009
361.00,0.010
362.00,0.010
363.00,0.010
364.00,0.010
365.00,0.009
366.00,0.009
367.00,0.010
368.00,0.009
369.00,0.010
370.00,0.009
371.00,0.009
372.00,0.009
373.00,0.009
374.00,0.009
375.00,0.010
376.00,0.009
377.00,0.009
378.00,0.009
379.00,0.009
380.00,0.009
381.00,0.009
382.00,0.009
383.00,0.009
384.00,0.009
385.00,0.009
386.00,0.009
387.00,0.008
388.00,0.008
389.00,0.009
390.00,0.008
391.00,0.008
392.00,0.009
393.00,0.008
394.00,0.008
395.00,0.008
396.00,0.008
397.00,0.008
398.00,0.008
399.00,0.008
400.00,0.008
401.00,0.007
402.00,0.008
403.00,0.008
404.00,0.008
405.00,0.007
406.00,0.007
407.00,0.007
408.00,0.007
409.00,0.007
410.00,0.007
411.00,0.007
412.00,0.007
413.00,0.007
414.00,0.007
415.00,0.007
416.00,0.007
417.00,0.007
418.00,0.007
419.00,0.007
420.00,0.007
421.00,0.006
422.00,0.006
423.00,0.006
424.00,0.006
425.00,0.006
426.00,0.006
427.00,0.006
428.00,0.006
429.00,0.006
430.00,0.006
431.00,0.006
432.00,0.006
433.00,0.006
434.00,0.006
435.00,0.006
436.00,0.006
437.00,0.005
438.00,0.006
439.00,0.005
440.00,0.005
441.00,0.005
442.00,0.005
443.00,0.006
444.00,0.005
445.00,0.005
446.00,0.005
447.00,0.005
448.00,0.005
449.00,0.005
450.00,0.005
451.00,0.005
452.00,0.005
453.00,0.005
454.00,0.005
455.00,0.005
456.00,0.005
457.00,0.005
458.00,0.005
459.00,0.005
460.00,0.004
461.00,0.005
462.00,0.004
463.00,0.004
464.00,0.004
465.00,0.004
466.00,0.004
467.00,0.004
468.00,0.004
469.00,0.004
470.00,0.004
471.00,0.004
472.00,0.004
473.00,0.004
474.00,0.004
475.00,0.004
476.00,0.004
477.00,0.004
478.00,0.004
479.00,0.004
480.00,0.004
481.00,0.004
482.00,0.004
483.00,0.004
484.00,0.004
485.00,0.004
486.00,0.004
487.00,0.004
488.00,0.004
489.00,0.004
490.00,0.004
491.00,0.004
492.00,0.004
493.00,0.004
494.00,0.004
495.00,0.004
496.00,0.004
497.00,0.004
498.00,0.004
499.00,0.004
500.00,0.004
