"ZnS小尺寸140℃-5h4 - RawData"
"波长(nm)","吸收值"
200.00,0.851
201.00,0.725
202.00,0.927
203.00,0.961
204.00,0.913
205.00,0.972
206.00,0.986
207.00,0.953
208.00,0.911
209.00,0.890
210.00,0.866
211.00,0.855
212.00,0.822
213.00,0.814
214.00,0.794
215.00,0.772
216.00,0.755
217.00,0.743
218.00,0.729
219.00,0.715
220.00,0.706
221.00,0.686
222.00,0.671
223.00,0.650
224.00,0.632
225.00,0.615
226.00,0.596
227.00,0.578
228.00,0.558
229.00,0.539
230.00,0.521
231.00,0.502
232.00,0.483
233.00,0.467
234.00,0.450
235.00,0.437
236.00,0.424
237.00,0.411
238.00,0.397
239.00,0.388
240.00,0.379
241.00,0.375
242.00,0.370
243.00,0.369
244.00,0.371
245.00,0.377
246.00,0.384
247.00,0.395
248.00,0.407
249.00,0.421
250.00,0.437
251.00,0.453
252.00,0.473
253.00,0.492
254.00,0.510
255.00,0.524
256.00,0.533
257.00,0.536
258.00,0.528
259.00,0.512
260.00,0.486
261.00,0.455
262.00,0.423
263.00,0.385
264.00,0.348
265.00,0.313
266.00,0.279
267.00,0.246
268.00,0.217
269.00,0.190
270.00,0.166
271.00,0.147
272.00,0.129
273.00,0.114
274.00,0.100
275.00,0.089
276.00,0.079
277.00,0.071
278.00,0.063
279.00,0.057
280.00,0.051
281.00,0.047
282.00,0.042
283.00,0.038
284.00,0.035
285.00,0.033
286.00,0.030
287.00,0.027
288.00,0.025
289.00,0.023
290.00,0.022
291.00,0.020
292.00,0.020
293.00,0.018
294.00,0.017
295.00,0.016
296.00,0.016
297.00,0.015
298.00,0.014
299.00,0.014
300.00,0.014
301.00,0.013
302.00,0.013
303.00,0.012
304.00,0.012
305.00,0.012
306.00,0.012
307.00,0.012
308.00,0.011
309.00,0.012
310.00,0.011
311.00,0.011
312.00,0.010
313.00,0.011
314.00,0.010
315.00,0.011
316.00,0.010
317.00,0.010
318.00,0.011
319.00,0.010
320.00,0.010
321.00,0.010
322.00,0.010
323.00,0.009
324.00,0.010
325.00,0.010
326.00,0.009
327.00,0.009
328.00,0.009
329.00,0.010
330.00,0.009
331.00,0.009
332.00,0.008
333.00,0.009
334.00,0.009
335.00,0.008
336.00,0.008
337.00,0.008
338.00,0.008
339.00,0.008
340.00,0.007
341.00,0.008
342.00,0.008
343.00,0.008
344.00,0.008
345.00,0.007
346.00,0.008
347.00,0.007
348.00,0.007
349.00,0.008
350.00,0.007
351.00,0.007
352.00,0.008
353.00,0.007
354.00,0.007
355.00,0.008
356.00,0.007
357.00,0.007
358.00,0.007
359.00,0.007
360.00,0.007
361.00,0.007
362.00,0.007
363.00,0.007
364.00,0.007
365.00,0.006
366.00,0.006
367.00,0.006
368.00,0.007
369.00,0.007
370.00,0.006
371.00,0.006
372.00,0.007
373.00,0.006
374.00,0.007
375.00,0.006
376.00,0.006
377.00,0.006
378.00,0.007
379.00,0.006
380.00,0.006
381.00,0.006
382.00,0.006
383.00,0.006
384.00,0.006
385.00,0.006
386.00,0.006
387.00,0.006
388.00,0.006
389.00,0.006
390.00,0.006
391.00,0.006
392.00,0.006
393.00,0.006
394.00,0.006
395.00,0.006
396.00,0.006
397.00,0.006
398.00,0.005
399.00,0.005
400.00,0.006
401.00,0.005
402.00,0.005
403.00,0.006
404.00,0.005
405.00,0.005
406.00,0.005
407.00,0.005
408.00,0.005
409.00,0.005
410.00,0.005
411.00,0.005
412.00,0.005
413.00,0.005
414.00,0.005
415.00,0.005
416.00,0.005
417.00,0.005
418.00,0.005
419.00,0.005
420.00,0.005
421.00,0.005
422.00,0.005
423.00,0.005
424.00,0.005
425.00,0.005
426.00,0.005
427.00,0.004
428.00,0.005
429.00,0.005
430.00,0.005
431.00,0.005
432.00,0.005
433.00,0.005
434.00,0.005
435.00,0.004
436.00,0.004
437.00,0.005
438.00,0.004
439.00,0.004
440.00,0.004
441.00,0.004
442.00,0.004
443.00,0.004
444.00,0.004
445.00,0.004
446.00,0.004
447.00,0.004
448.00,0.004
449.00,0.004
450.00,0.004
451.00,0.004
452.00,0.004
453.00,0.004
454.00,0.004
455.00,0.004
456.00,0.004
457.00,0.004
458.00,0.003
459.00,0.004
460.00,0.003
461.00,0.003
462.00,0.004
463.00,0.003
464.00,0.003
465.00,0.003
466.00,0.003
467.00,0.003
468.00,0.003
469.00,0.003
470.00,0.003
471.00,0.003
472.00,0.003
473.00,0.003
474.00,0.003
475.00,0.003
476.00,0.003
477.00,0.003
478.00,0.003
479.00,0.003
480.00,0.003
481.00,0.003
482.00,0.003
483.00,0.003
484.00,0.003
485.00,0.004
486.00,0.003
487.00,0.003
488.00,0.004
489.00,0.003
490.00,0.004
491.00,0.004
492.00,0.004
493.00,0.004
494.00,0.004
495.00,0.004
496.00,0.004
497.00,0.004
498.00,0.004
499.00,0.003
500.00,0.004
