"ZnS小尺寸140℃-h1 - RawData"
"波长(nm)","吸收值"
200.00,0.693
201.00,0.827
202.00,1.089
203.00,1.190
204.00,1.260
205.00,1.229
206.00,1.300
207.00,1.271
208.00,1.262
209.00,1.232
210.00,1.181
211.00,1.164
212.00,1.124
213.00,1.107
214.00,1.078
215.00,1.045
216.00,1.020
217.00,0.994
218.00,0.968
219.00,0.940
220.00,0.915
221.00,0.887
222.00,0.861
223.00,0.831
224.00,0.803
225.00,0.777
226.00,0.745
227.00,0.716
228.00,0.684
229.00,0.654
230.00,0.626
231.00,0.599
232.00,0.575
233.00,0.554
234.00,0.532
235.00,0.513
236.00,0.491
237.00,0.470
238.00,0.447
239.00,0.430
240.00,0.414
241.00,0.406
242.00,0.407
243.00,0.415
244.00,0.433
245.00,0.457
246.00,0.483
247.00,0.509
248.00,0.530
249.00,0.549
250.00,0.566
251.00,0.580
252.00,0.595
253.00,0.605
254.00,0.611
255.00,0.608
256.00,0.595
257.00,0.571
258.00,0.539
259.00,0.500
260.00,0.454
261.00,0.409
262.00,0.365
263.00,0.321
264.00,0.282
265.00,0.246
266.00,0.215
267.00,0.188
268.00,0.166
269.00,0.146
270.00,0.130
271.00,0.117
272.00,0.105
273.00,0.095
274.00,0.086
275.00,0.078
276.00,0.072
277.00,0.066
278.00,0.061
279.00,0.057
280.00,0.052
281.00,0.048
282.00,0.045
283.00,0.042
284.00,0.039
285.00,0.037
286.00,0.035
287.00,0.032
288.00,0.031
289.00,0.029
290.00,0.027
291.00,0.027
292.00,0.025
293.00,0.024
294.00,0.024
295.00,0.022
296.00,0.022
297.00,0.021
298.00,0.020
299.00,0.020
300.00,0.020
301.00,0.019
302.00,0.020
303.00,0.018
304.00,0.019
305.00,0.018
306.00,0.018
307.00,0.018
308.00,0.017
309.00,0.017
310.00,0.017
311.00,0.015
312.00,0.015
313.00,0.015
314.00,0.015
315.00,0.014
316.00,0.014
317.00,0.014
318.00,0.015
319.00,0.015
320.00,0.015
321.00,0.014
322.00,0.015
323.00,0.014
324.00,0.014
325.00,0.014
326.00,0.013
327.00,0.013
328.00,0.013
329.00,0.013
330.00,0.013
331.00,0.014
332.00,0.013
333.00,0.013
334.00,0.012
335.00,0.012
336.00,0.012
337.00,0.012
338.00,0.012
339.00,0.012
340.00,0.012
341.00,0.012
342.00,0.011
343.00,0.012
344.00,0.011
345.00,0.011
346.00,0.011
347.00,0.011
348.00,0.011
349.00,0.011
350.00,0.011
351.00,0.011
352.00,0.010
353.00,0.011
354.00,0.011
355.00,0.011
356.00,0.011
357.00,0.010
358.00,0.010
359.00,0.010
360.00,0.010
361.00,0.010
362.00,0.011
363.00,0.010
364.00,0.010
365.00,0.009
366.00,0.010
367.00,0.010
368.00,0.010
369.00,0.010
370.00,0.010
371.00,0.009
372.00,0.010
373.00,0.009
374.00,0.010
375.00,0.010
376.00,0.009
377.00,0.009
378.00,0.009
379.00,0.009
380.00,0.009
381.00,0.009
382.00,0.009
383.00,0.009
384.00,0.009
385.00,0.009
386.00,0.009
387.00,0.009
388.00,0.008
389.00,0.009
390.00,0.009
391.00,0.008
392.00,0.009
393.00,0.008
394.00,0.008
395.00,0.008
396.00,0.008
397.00,0.008
398.00,0.008
399.00,0.008
400.00,0.008
401.00,0.007
402.00,0.008
403.00,0.008
404.00,0.008
405.00,0.007
406.00,0.008
407.00,0.007
408.00,0.007
409.00,0.007
410.00,0.007
411.00,0.007
412.00,0.008
413.00,0.007
414.00,0.007
415.00,0.007
416.00,0.007
417.00,0.007
418.00,0.007
419.00,0.007
420.00,0.007
421.00,0.007
422.00,0.007
423.00,0.007
424.00,0.006
425.00,0.006
426.00,0.007
427.00,0.006
428.00,0.007
429.00,0.006
430.00,0.006
431.00,0.007
432.00,0.006
433.00,0.006
434.00,0.006
435.00,0.006
436.00,0.006
437.00,0.006
438.00,0.006
439.00,0.006
440.00,0.006
441.00,0.006
442.00,0.006
443.00,0.006
444.00,0.005
445.00,0.006
446.00,0.005
447.00,0.005
448.00,0.006
449.00,0.005
450.00,0.005
451.00,0.005
452.00,0.005
453.00,0.005
454.00,0.005
455.00,0.005
456.00,0.005
457.00,0.005
458.00,0.005
459.00,0.005
460.00,0.005
461.00,0.005
462.00,0.005
463.00,0.004
464.00,0.004
465.00,0.005
466.00,0.004
467.00,0.005
468.00,0.005
469.00,0.004
470.00,0.004
471.00,0.004
472.00,0.004
473.00,0.004
474.00,0.004
475.00,0.004
476.00,0.004
477.00,0.004
478.00,0.004
479.00,0.004
480.00,0.004
481.00,0.004
482.00,0.004
483.00,0.004
484.00,0.004
485.00,0.004
486.00,0.004
487.00,0.004
488.00,0.005
489.00,0.004
490.00,0.004
491.00,0.004
492.00,0.005
493.00,0.005
494.00,0.005
495.00,0.005
496.00,0.005
497.00,0.004
498.00,0.005
499.00,0.004
500.00,0.004
