Quad_1_250;
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.00000
201.00,0.00000
202.00,0.00000
203.00,0.00000
204.00,0.00000
205.00,0.00000
206.00,0.00000
207.00,0.00000
208.00,0.00000
209.00,0.00000
210.00,0.00000
211.00,0.00000
212.00,0.00000
213.00,0.00000
214.00,0.00000
215.00,0.00000
216.00,0.00000
217.00,0.00000
218.00,0.00000
219.00,0.00000
220.00,0.00000
221.00,0.00000
222.00,0.00000
223.00,0.00000
224.00,0.00000
225.00,0.00000
226.00,0.00000
227.00,0.00000
228.00,0.00000
229.00,0.00000
230.00,0.00000
231.00,0.00000
232.00,0.00000
233.00,0.00000
234.00,0.00000
235.00,0.00000
236.00,0.00000
237.00,0.00000
238.00,0.00000
239.00,0.00000
240.00,7.60000
241.00,14.40000
242.00,20.40000
243.00,25.60000
244.00,30.00000
245.00,33.60000
246.00,36.40000
247.00,38.40000
248.00,39.60000
249.00,40.00000
250.00,39.60000
251.00,38.40000
252.00,36.40000
253.00,33.60000
254.00,30.00000
255.00,25.60000
256.00,20.40000
257.00,14.40000
258.00,7.60000
259.00,-0.00000
260.00,0.00000
261.00,0.00000
262.00,0.00000
263.00,0.00000
264.00,0.00000
265.00,0.00000
266.00,0.00000
267.00,0.00000
268.00,0.00000
269.00,0.00000
270.00,0.00000
271.00,0.00000
272.00,0.00000
273.00,0.00000
274.00,0.00000
275.00,0.00000
276.00,0.00000
277.00,0.00000
278.00,0.00000
279.00,0.00000
280.00,0.00000
281.00,0.00000
282.00,0.00000
283.00,0.00000
284.00,0.00000
285.00,0.00000
286.00,0.00000
287.00,0.00000
288.00,0.00000
289.00,0.00000
290.00,0.00000
291.00,0.00000
292.00,0.00000
293.00,0.00000
294.00,0.00000
295.00,0.00000
296.00,0.00000
297.00,0.00000
298.00,0.00000
299.00,0.00000
300.00,0.00000
301.00,0.00000
302.00,0.00000
303.00,0.00000
304.00,0.00000
305.00,0.00000
306.00,0.00000
307.00,0.00000
308.00,0.00000
309.00,0.00000
310.00,0.00000
311.00,0.00000
312.00,0.00000
313.00,0.00000
314.00,0.00000
315.00,0.00000
316.00,0.00000
317.00,0.00000
318.00,0.00000
319.00,0.00000
320.00,0.00000
321.00,0.00000
322.00,0.00000
323.00,0.00000
324.00,0.00000
325.00,0.00000
326.00,0.00000
327.00,0.00000
328.00,0.00000
329.00,0.00000
330.00,0.00000
331.00,0.00000
332.00,0.00000
333.00,0.00000
334.00,0.00000
335.00,0.00000
336.00,0.00000
337.00,0.00000
338.00,0.00000
339.00,0.00000
340.00,0.00000
341.00,0.00000
342.00,0.00000
343.00,0.00000
344.00,0.00000
345.00,0.00000
346.00,0.00000
347.00,0.00000
348.00,0.00000
349.00,0.00000
350.00,0.00000
