"小ZnS - RawData"
"波长(nm)","吸收值"
200.00,0.09736
200.50,0.06804
201.00,0.02845
201.50,0.10466
202.00,-0.14609
202.50,-0.11584
203.00,-0.14056
203.50,-0.09685
204.00,-0.19715
204.50,-0.26312
205.00,-0.11204
205.50,-0.04914
206.00,0.06788
206.50,0.02487
207.00,0.01979
207.50,-0.04689
208.00,-0.06763
208.50,-0.19751
209.00,-0.26868
209.50,-0.22721
210.00,-0.08799
210.50,0.12554
211.00,0.15320
211.50,0.18980
212.00,0.08691
212.50,0.03519
213.00,0.01706
213.50,0.04580
214.00,0.01935
214.50,0.00243
215.00,0.02774
215.50,0.05945
216.00,0.10399
216.50,0.07150
217.00,0.08461
217.50,0.12221
218.00,0.14702
218.50,0.13490
219.00,0.12072
219.50,0.22796
220.00,0.25300
220.50,0.29421
221.00,0.27358
221.50,0.32333
222.00,0.36316
222.50,0.42100
223.00,0.42616
223.50,0.42587
224.00,0.43919
224.50,0.51380
225.00,0.49040
225.50,0.49550
226.00,0.48739
226.50,0.56459
227.00,0.53679
227.50,0.58277
228.00,0.59302
228.50,0.58920
229.00,0.54444
229.50,0.54052
230.00,0.57299
230.50,0.58427
231.00,0.56938
231.50,0.55387
232.00,0.53652
232.50,0.50983
233.00,0.50685
233.50,0.51651
234.00,0.52809
234.50,0.52623
235.00,0.50690
235.50,0.50658
236.00,0.49462
236.50,0.49111
237.00,0.48538
237.50,0.47885
238.00,0.46219
238.50,0.44322
239.00,0.43041
239.50,0.42956
240.00,0.42692
240.50,0.43012
241.00,0.42463
241.50,0.42116
242.00,0.41895
242.50,0.42102
243.00,0.41514
243.50,0.41863
244.00,0.41742
244.50,0.43218
245.00,0.43037
245.50,0.44261
246.00,0.45223
246.50,0.46311
247.00,0.46859
247.50,0.46614
248.00,0.47543
248.50,0.47833
249.00,0.48510
249.50,0.48489
250.00,0.49549
250.50,0.50314
251.00,0.51337
251.50,0.51940
252.00,0.52803
252.50,0.53800
253.00,0.54658
253.50,0.55438
254.00,0.56361
254.50,0.56991
255.00,0.57906
255.50,0.57901
256.00,0.58749
256.50,0.58102
257.00,0.57935
257.50,0.56586
258.00,0.55883
258.50,0.54536
259.00,0.53080
259.50,0.51203
260.00,0.49360
260.50,0.47059
261.00,0.44934
261.50,0.42577
262.00,0.40558
262.50,0.38165
263.00,0.35638
263.50,0.33207
264.00,0.30938
264.50,0.29019
265.00,0.27170
265.50,0.25255
266.00,0.23338
266.50,0.21503
267.00,0.19945
267.50,0.18355
268.00,0.16876
268.50,0.15553
269.00,0.14498
269.50,0.13214
270.00,0.12058
270.50,0.10890
271.00,0.10038
271.50,0.09244
272.00,0.08473
272.50,0.07834
273.00,0.07212
273.50,0.06673
274.00,0.06075
274.50,0.05555
275.00,0.04918
275.50,0.04509
276.00,0.04025
276.50,0.03852
277.00,0.03531
277.50,0.03187
278.00,0.02844
278.50,0.02613
279.00,0.02426
279.50,0.02270
280.00,0.02073
280.50,0.01903
281.00,0.01704
281.50,0.01477
282.00,0.01369
282.50,0.01233
283.00,0.01057
283.50,0.00926
284.00,0.00828
284.50,0.00848
285.00,0.00760
285.50,0.00650
286.00,0.00493
286.50,0.00313
287.00,0.00250
287.50,0.00139
288.00,0.00095
288.50,-0.00062
289.00,-0.00104
289.50,-0.00167
290.00,-0.00208
290.50,-0.00249
291.00,-0.00281
291.50,-0.00310
292.00,-0.00353
292.50,-0.00347
293.00,-0.00387
293.50,-0.00469
294.00,-0.00622
294.50,-0.00632
295.00,-0.00658
295.50,-0.00613
296.00,-0.00659
296.50,-0.00720
297.00,-0.00757
297.50,-0.00779
298.00,-0.00728
298.50,-0.00786
299.00,-0.00820
299.50,-0.00943
300.00,-0.00884
300.50,-0.00969
301.00,-0.00918
301.50,-0.00977
302.00,-0.00968
302.50,-0.01000
303.00,-0.01034
303.50,-0.01005
304.00,-0.01033
304.50,-0.01066
305.00,-0.01122
305.50,-0.01138
306.00,-0.01099
306.50,-0.01134
307.00,-0.01130
307.50,-0.01168
308.00,-0.01108
308.50,-0.01087
309.00,-0.01094
309.50,-0.01113
310.00,-0.01115
310.50,-0.01105
311.00,-0.01145
311.50,-0.01186
312.00,-0.01181
312.50,-0.01146
313.00,-0.01153
313.50,-0.01191
314.00,-0.01176
314.50,-0.01156
315.00,-0.01094
315.50,-0.01100
316.00,-0.01110
316.50,-0.01194
317.00,-0.01231
317.50,-0.01184
318.00,-0.01115
318.50,-0.01112
319.00,-0.01160
319.50,-0.01218
320.00,-0.01221
320.50,-0.01219
321.00,-0.01196
321.50,-0.01203
322.00,-0.01168
322.50,-0.01182
323.00,-0.01187
323.50,-0.01226
324.00,-0.01235
324.50,-0.01236
325.00,-0.01240
325.50,-0.01262
326.00,-0.01245
326.50,-0.01294
327.00,-0.01291
327.50,-0.01314
328.00,-0.01267
328.50,-0.01279
329.00,-0.01278
329.50,-0.01273
330.00,-0.01288
330.50,-0.01272
331.00,-0.01278
331.50,-0.01250
332.00,-0.01294
332.50,-0.01320
333.00,-0.01310
333.50,-0.01305
334.00,-0.01332
334.50,-0.01368
335.00,-0.01346
335.50,-0.01286
336.00,-0.01236
336.50,-0.01270
337.00,-0.01279
337.50,-0.01326
338.00,-0.01302
338.50,-0.01322
339.00,-0.01329
339.50,-0.01381
340.00,-0.01389
340.50,-0.01396
341.00,-0.01352
341.50,-0.01375
342.00,-0.01379
342.50,-0.01395
343.00,-0.01417
343.50,-0.01394
344.00,-0.01372
344.50,-0.01355
345.00,-0.01368
345.50,-0.01408
346.00,-0.01415
346.50,-0.01410
347.00,-0.01392
347.50,-0.01410
348.00,-0.01444
348.50,-0.01489
349.00,-0.01474
349.50,-0.01460
350.00,-0.01469
350.50,-0.01457
351.00,-0.01475
351.50,-0.01448
352.00,-0.01460
352.50,-0.01451
353.00,-0.01431
353.50,-0.01458
354.00,-0.01465
354.50,-0.01467
355.00,-0.01463
355.50,-0.01453
356.00,-0.01463
356.50,-0.01465
357.00,-0.01482
357.50,-0.01502
358.00,-0.01497
358.50,-0.01488
359.00,-0.01521
359.50,-0.01451
360.00,-0.01451
360.50,-0.01460
361.00,-0.01451
361.50,-0.01431
362.00,-0.01458
362.50,-0.01465
363.00,-0.01467
363.50,-0.01463
364.00,-0.01453
364.50,-0.01463
365.00,-0.01465
365.50,-0.01482
366.00,-0.01502
366.50,-0.01497
367.00,-0.01488
367.50,-0.01460
368.00,-0.01451
368.50,-0.01431
369.00,-0.01458
369.50,-0.01465
370.00,-0.01467
370.50,-0.01463
371.00,-0.01453
371.50,-0.01463
372.00,-0.01550
372.50,-0.01531
373.00,-0.01550
373.50,-0.01518
374.00,-0.01529
374.50,-0.01538
375.00,-0.01536
375.50,-0.01541
376.00,-0.01529
376.50,-0.01555
377.00,-0.01558
377.50,-0.01583
378.00,-0.01554
378.50,-0.01531
379.00,-0.01523
379.50,-0.01538
380.00,-0.01578
380.50,-0.01610
381.00,-0.01612
381.50,-0.01600
382.00,-0.01565
382.50,-0.01585
383.00,-0.01576
383.50,-0.01597
384.00,-0.01583
384.50,-0.01610
385.00,-0.01603
385.50,-0.01638
386.00,-0.01634
386.50,-0.01652
387.00,-0.01634
387.50,-0.01638
388.00,-0.01628
388.50,-0.01617
389.00,-0.01624
389.50,-0.01627
390.00,-0.01658
